university;average exam score;rise/fall;number of enrolled students;no exams;average score minus individual achievements
 Адыгейский гос. ун-т., г. Майкоп; 63.0; 0; 620; 0; Нет
 Адыгейский гос. ун-т., г. Майкоп; 63.0; 0; 620; 0; Нет
 Алтайский гос. аграрный ун-т., г. Барнаул; 56.3; -2.4; 523; 0; Нет
 Алтайский гос. аграрный ун-т., г. Барнаул; 56.3; -2.4; 523; 0; Нет
 Алтайский гос. медицинский ун-т., г. Барнаул ; 69.8; -3.9; 619; 0; Да
 Алтайский гос. медицинский ун-т., г. Барнаул ; 69.8; -3.9; 619; 0; Да
 Алтайский гос. педагогический ун-т., г. Барнаул; 66.7; -1.1; 712; 1; Да
 Алтайский гос. педагогический ун-т., г. Барнаул; 66.7; -1.1; 712; 1; Да
 Алтайский гос. техн. ун-т. им. И.И. Ползунова, г. Барнаул; 66.5; 2.8; 1061; 3; Нет
 Алтайский гос. техн. ун-т. им. И.И. Ползунова, г. Барнаул; 66.5; 2.8; 1061; 3; Нет
 Алтайский гос. ун-т., г. Барнаул; 74.4; 1.7; 1420; 23; Да
 Алтайский гос. ун-т., г. Барнаул; 74.4; 1.7; 1420; 23; Да
 Амурская гос. медицинская академия, г. Благовещенск; 62.4; -2.1; 332; 0; Да
 Амурская гос. медицинская академия, г. Благовещенск; 62.4; -2.1; 332; 0; Да
 Амурский гос. ун-т., г. Благовещенск; 61.3; -2.2; 602; 0; Нет
 Амурский гос. ун-т., г. Благовещенск; 61.3; -2.2; 602; 0; Нет
 Арзамасский филиал Национального исследовательского Нижегородского государственного ун-т.а им. Н.И. Лобачевского; 62.9; 0.1; 305; 0; Да
 Арзамасский филиал Национального исследовательского Нижегородского государственного ун-т.а им. Н.И. Лобачевского; 62.9; 0.1; 305; 0; Да
 Арктический гос. агротехнол. ун-т.; 48.7; -11.8; 368; 0; Нет
 Арктический гос. агротехнол. ун-т.; 48.7; -11.8; 368; 0; Нет
 Армавирский гос. педагогический ун-т.; 64.5; -1.2; 500; 0; Нет
 Армавирский гос. педагогический ун-т.; 64.5; -1.2; 500; 0; Нет
 Астраханский гос. медицинский ун-т.; 70.8; -0.8; 372; 0; Да
 Астраханский гос. медицинский ун-т.; 70.8; -0.8; 372; 0; Да
 Астраханский гос. техн. ун-т.; 56.8; -2; 561; 0; Нет
 Астраханский гос. техн. ун-т.; 56.8; -2; 561; 0; Нет
 Астраханский гос. ун-т.; 63.9; -2.2; 695; 1; Да
 Астраханский гос. ун-т.; 63.9; -2.2; 695; 1; Да
 Байкальский гос. ун-т., г. Иркутск; 71.4; -3.1; 342; 0; Да
 Байкальский гос. ун-т., г. Иркутск; 71.4; -3.1; 342; 0; Да
" Балтийский гос. техн. ун-т. ""Военмех"" им. Д.Ф. Устинова, г. Санкт-Петербург "; 74.1; -0.6; 946; 0; Нет
" Балтийский гос. техн. ун-т. ""Военмех"" им. Д.Ф. Устинова, г. Санкт-Петербург "; 74.1; -0.6; 946; 0; Нет
 Балтийский федеральный ун-т. им. И. Канта; 77.9; 0.3; 1312; 11; Нет
 Балтийский федеральный ун-т. им. И. Канта; 77.9; 0.3; 1312; 11; Нет
 Башкирский гос. аграрный ун-т., г. Уфа; 61.4; 0.5; 647; 0; Нет
 Башкирский гос. аграрный ун-т., г. Уфа; 61.4; 0.5; 647; 0; Нет
 Башкирский гос. медицинский ун-т., г. Уфа; 73.5; -3.1; 870; 0; Да
 Башкирский гос. медицинский ун-т., г. Уфа; 73.5; -3.1; 870; 0; Да
 Башкирский гос. педагогический ун-т. им. М. Акмуллы, г. Уфа; 71.8; 1.7; 734; 1; Нет
 Башкирский гос. педагогический ун-т. им. М. Акмуллы, г. Уфа; 71.8; 1.7; 734; 1; Нет
 Башкирский гос. ун-т., г. Уфа; 67.6; -2.1; 1011; 4; Да
 Башкирский гос. ун-т., г. Уфа; 67.6; -2.1; 1011; 4; Да
 Белгородский гос. аграрный ун-т. им. В.Я. Горина; 60.0; 1.3; 407; 0; Нет
 Белгородский гос. аграрный ун-т. им. В.Я. Горина; 60.0; 1.3; 407; 0; Нет
 Белгородский гос. национальный исследовательский ун-т.; 66.8; -2.5; 1460; 2; Да
 Белгородский гос. национальный исследовательский ун-т.; 66.8; -2.5; 1460; 2; Да
 Белгородский гос. технол. ун-т. им. В.Г. Шухова; 67.7; -1.5; 1342; 3; Нет
 Белгородский гос. технол. ун-т. им. В.Г. Шухова; 67.7; -1.5; 1342; 3; Нет
 Бирский филиал Башкирского государственного ун-т.а; 63.4; 0.3; 365; 0; Да
 Бирский филиал Башкирского государственного ун-т.а; 63.4; 0.3; 365; 0; Да
 Благовещенский гос. педагогический ун-т.; 62.7; -0.9; 427; 0; Нет
 Благовещенский гос. педагогический ун-т.; 62.7; -0.9; 427; 0; Нет
 Братский гос. ун-т.; 53.2; -5.2; 355; 0; Да
 Братский гос. ун-т.; 53.2; -5.2; 355; 0; Да
 Брянский гос. аграрный ун-т.; 48.8; 0; 391; 0; Нет
 Брянский гос. аграрный ун-т.; 48.8; 0; 391; 0; Нет
 Брянский гос. техн. ун-т.; 63.1; -0.8; 771; 0; Да
 Брянский гос. техн. ун-т.; 63.1; -0.8; 771; 0; Да
 Брянский гос. ун-т. им. И.Г. Петровского; 71.2; 0.8; 349; 0; Нет
 Брянский гос. ун-т. им. И.Г. Петровского; 71.2; 0.8; 349; 0; Нет
 Бурятская гос. сельскохозяйственная академия им. В.Р. Филиппова, г. Улан-Удэ; 58.0; 0.6; 399; 0; Нет
 Бурятская гос. сельскохозяйственная академия им. В.Р. Филиппова, г. Улан-Удэ; 58.0; 0.6; 399; 0; Нет
 Бурятский гос. ун-т., г. Улан-Удэ; 63.0; -0.9; 792; 0; Да
 Бурятский гос. ун-т., г. Улан-Удэ; 63.0; -0.9; 792; 0; Да
 Владивостокский гос. ун-т. экономики и сервиса; 65.6; -6.8; 357; 0; Нет
 Владивостокский гос. ун-т. экономики и сервиса; 65.6; -6.8; 357; 0; Нет
 Владимирский гос. ун-т.; 64.0; -1.9; 1420; 0; Да
 Владимирский гос. ун-т.; 64.0; -1.9; 1420; 0; Да
 Волгоградский гос. аграрный ун-т.; 55.5; -3.5; 709; 0; Нет
 Волгоградский гос. аграрный ун-т.; 55.5; -3.5; 709; 0; Нет
 Волгоградский гос. медицинский ун-т.; 73.8; -1.8; 675; 0; Да
 Волгоградский гос. медицинский ун-т.; 73.8; -1.8; 675; 0; Да
 Волгоградский гос. социально-педагогический ун-т.; 67.8; -1.3; 889; 0; Да
 Волгоградский гос. социально-педагогический ун-т.; 67.8; -1.3; 889; 0; Да
 Волгоградский гос. техн. ун-т.; 64.2; 0.3; 1198; 0; Да
 Волгоградский гос. техн. ун-т.; 64.2; 0.3; 1198; 0; Да
 Волгоградский гос. ун-т.; 69.0; -0.9; 969; 1; Да
 Волгоградский гос. ун-т.; 69.0; -0.9; 969; 1; Да
 Волжский гос. ун-т. водного транспорта, г. Нижний Новгород; 53.4; -0.3; 480; 0; Нет
 Волжский гос. ун-т. водного транспорта, г. Нижний Новгород; 53.4; -0.3; 480; 0; Нет
 Вологодская гос. молочнохозяйственная академия им. Н.В. Верещагина; 48.3; -5.4; 461; 0; Нет
