university;average exam score;rise/fall;number of enrolled students;no exams;average score minus individual achievements;link;link2
Ростовский+гос.+медицинский+ун-т.; 71.8; -3.5;875;1; Да;http://pk.rostgmu.ru/;
Ростовский+гос.+ун-т.+путей+сообщения; 58.5; -3.1;766;0; Нет;http://rgups.ru/abitur/;
"Ростовский+гос.+экономический+ун-т.+""РИНХ"""; 71.1; -2.7;353;0; Да;https://rsue.ru/abitur/;
Российская+академия+народного+хозяйства+и+государственной+службы+при+Президенте+РФ,+г.+Москва; 93.6; 1.6;706;265; Да;https://www.ranepa.ru/;
Российский+национальный+исследовательский+медицинский+ун-т.+им.+Н.И.+Пирогова,+г.+Москва; 83.4; 0.2;1605;86; Да;https://rsmu.ru/abitur/;
Российский+гос.+аграрный+ун-т.+—+МСХА+им.+К.А.+Тимирязева,+г.+Москва; 67.4; 0.7;1887;3; Да;https://www.timacad.ru/incoming;
Российский+гос.+педагогический+ун-т.+им.+А.И.+Герцена,+г.+Санкт-Петербург; 79.7;1;1351;31; Да;https://www.herzen.spb.ru/abiturients/;
Российский+гос.+геологоразведочный+ун-т.+им.+Серго+Орджоникидзе,+г.+Москва; 67.1; -0.8;382;0; Да;https://mgri.ru/commission/;
Российский+гос.+гидрометеорологический+ун-т.,+г.+Санкт-Петербург; 69.5; -0.3;466;0; Нет;http://dovus.rshu.ru/content/priemkom/abit;
Российский+гос.+гуманитарный+ун-т.,+г.+Москва; 84.8; -1.3;565;5; Да;https://www.rsuh.ru/abitur/;
Российский+гос.+профессионально-педагогический+ун-т.,+г.+Екатеринбург; 73.2; -3.6;504;0; Нет;https://www.rsvpu.ru/abiturientu/;
Российский+гос.+ун-т.+им.+А.Н.+Косыгина+(Технологии.+Дизайн.+Искусство),+г.+Москва; 77.1;1;1125;20; Да;https://kosygin-rgu.ru/abiturient/index.aspx;
Российский+гос.+ун-т.+нефти+и+газа+им.+И.М.+Губкина,+г.+Москва; 83.0; 1.1;1240;39; Да;https://www.gubkin.ru/;
Российский+гос.+социальный+ун-т.,+г+.+Москва; 76.6; 1.2;359;0; Да;https://rgsu.net/abitur/;
Российский+химико-технол.+ун-т.+им.+Д.И.+Менделеева,+г.Москва; 79.3;-1;1387;42; Да;https://www.muctr.ru/abitur/;
Российский+ун-т.+дружбы+народов,+г.+Москва; 86.3; 3.5;1029;202; Да;https://admission.rudn.ru/;
Российский+ун-т.+транспорта+(МИИТ); 64.0; 0.2;1757;0; Да;https://www.miit.ru/admissions/office;
Российский+экономический+ун-т.+им.+Г.В.+Плеханова,+г.+Москва; 88.7; 0.5;630;66; Да;https://www.rea.ru/ru/org/managements/Pages/priem.aspx;
Рыбинский+гос.+авиационный+техн.+ун-т.+им.+П.А.+Соловьева; 60.5; -0.8;391;0; Да;https://www.rsatu.ru/applicants/the_admissions_committee/39/;
Рязанский+гос.+агротехнол.+ун-т.+им.+П.А.+Костычева; 55.6;0;409;0; Да;http://rgatu.ru/;
Рязанский+гос.+медицинский+ун-т.+им.+И.П.+Павлова; 77.3; 0.3;479;1; Да;https://rzgmu.ru/admission/college_entrants/selection_committee/;
