university;average exam score;rise/fall;number of enrolled students;no exams;average score minus individual achievements
 Алтайский государственный педагогический университет ; 66.7; -1.1; 712; 1; Да;бакалавриат;25;124.0;"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Алтайский государственный педагогический университет""";7f000001-79c1-1a03-8179-c14e44f80701
 Алтайский государственный университет ; 74.4; 1.7; 1420; 23; Да;бакалавриат;25;124.0;"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Алтайский государственный педагогический университет""";7f000001-79c1-1a03-8179-c14e44f80701
 Армавирский государственный педагогический университет; 64.5; -1.2; 500; 0; Нет;бакалавриат;;;"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Армавирский государственный педагогический университет""";7f000001-79c1-1a03-8179-c14e45ce0707
 Астраханский государственный университет; 63.9; -2.2; 695; 1; Да;бакалавриат;23;0.0;Астраханский государственный университет;7f000001-79c1-1a03-8179-c14e45e80708
 Байкальский государственный университет ; 71.4; -3.1; 342; 0; Да;бакалавриат;14;123.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Байкальский государственный университет»;7f000001-79c1-1a03-8179-c14e46010709
 Башкирский государственный университет ; 67.6; -2.1; 1011; 4; Да;бакалавриат;12;194.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Башкирский государственный педагогический университет им. М. Акмуллы»;7f000001-79c1-1a03-8179-c14e4619070a
 Белгородский государственный национальный исследовательский университет; 66.8; -2.5; 1460; 2; Да;бакалавриат;48;194.0;Федеральное государственное автономное образовательное учреждение высшего образования «Белгородский государственный национальный исследовательский университет»;7f000001-79c1-1a03-8179-c14e4660070d
 Братский государственный университет; 53.2; -5.2; 355; 0; Да;бакалавриат;2;0.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Братский государственный университет»;7f000001-79c1-1a03-8179-c14e46b40710
 Брянский государственный аграрный университет; 48.8; 0; 391; 0; Нет;бакалавриат;0;105.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Брянский государственный аграрный университет»;7f000001-79c1-1a03-8179-c14e65f00892
 Брянский государственный технический университет; 63.1; -0.8; 771; 0; Да;бакалавриат;25;123.0;"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Брянский государственный технический университет""";7f000001-79c1-1a03-8179-c14e472b0712
 Бурятский государственный университет ; 63.0; -0.9; 792; 0; Да;бакалавриат;30;126.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Бурятский государственный университет имени Доржи Банзарова»;7f000001-79c1-1a03-8179-c14e47590714
 Владимирский государственный университет; 64.0; -1.9; 1420; 0; Да;бакалавриат;;;Федеральное государственное бюджетное образовательное учреждение высшего образования «Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых»;7f000001-79c1-1a03-8179-c14e477e0716
