university;average exam score;rise/fall;number of enrolled students;no exams;average score minus individual achievements;link;link to file
Ростовский+гос.+медицинский+ун-т.; 71.8; -3.5;875;1; Да;http://pk.rostgmu.ru/;;0
Ростовский+гос.+ун-т.+путей+сообщения; 58.5; -3.1;766;0; Нет;http://rgups.ru/abitur/;;http://www.rgups.ru/oop/bakalavriat/;http://www.rgups.ru/oop/;http://www.rgups.ru/site/assets/files/120581/rp_vtiasu_vychisl_mashiny_kompleksy_sistemy_i_seti_bakalavr_fgos_vo_3_-1.pdf;http://www.rgups.ru/site/assets/files/62027/samoobsledovanie_2021_za_2020.pdf;http://www.rgups.ru/site/assets/files/62027/othet_o_samoobsledovanii_29.03.2019.pdf
"Ростовский+гос.+экономический+ун-т.+""РИНХ"""; 71.1; -2.7;353;0; Да;https://rsue.ru/abitur/;;https://rsue.ru/abitur/pdf/kol_mest_2021.pdf;https://rsue.ru/fakultety/fktib/;https://rsue.ru/abitur/pdf/kol_mest_2020.pdf;https://rsue.ru/sveden/files/09.03.03_Programmnaya_ingheneriya.pdf;https://rsue.ru/res/OP_VPO_FGOS17/B/bo/010302/01.03.02%20%D0%911.%D0%92.%D0%94%D0%92.6.2%20%D0%98%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D1%8B%D0%B5%20%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D1%8B%20%D0%B2%20%D0%B1%D1%83%D1%85%D0%B3%D0%B0%D0%BB%D1%82%D0%B5%D1%80%D1%81%D0%BA%D0%BE%D0%BC%20%D1%83%D1%87%D0%B5%D1%82%D0%B5.pdf;https://rsue.ru/sveden/ovz/;https://rsue.ru/res/OP_VPO_FGOS18/B/bz/090304/09.03.04%20%D0%911.%D0%91.07%20%D0%9A%D1%83%D0%BB%D1%8C%D1%82%D1%83%D1%80%D0%B0%20%D1%80%D0%B5%D1%87%D0%B8%20%D0%B8%20%D0%B4%D0%B5%D0%BB%D0%BE%D0%B2%D0%BE%D0%B5%20%D0%BE%D0%B1%D1%89%D0%B5%D0%BD%D0%B8%D0%B5.pdf;https://rsue.ru/sveden/files/01.03.02_B1.B.22_Fizicheskaya_kulytura_i_sport(1).docx;https://rsue.ru/sveden/files/01.03.02_B1.V.16_Elektivnye_discipliny_(moduli)_po_fizicheskoy_kulyture_i_sportu(1).docx;https://library.rsue.ru/storage/prais_list/%D0%98%D0%B7%D0%B4%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE%20%D0%9A%D0%BD%D0%BE%D1%80%D1%83%D1%81.xlsx
Российская+академия+народного+хозяйства+и+государственной+службы+при+Президенте+РФ,+г.+Москва; 93.6; 1.6;706;265; Да;https://www.ranepa.ru/;;https://uriu.ranepa.ru/abitur/bachelor.php;https://uriu.ranepa.ru/abitur/magistr.php;https://www.ranepa.ru/sveden/education/obrazovatelnye-programmy-nabora-2022-2023/;https://docs.vlgr.ranepa.ru/sveden/education/2021/38.03.01/FK/rp/RP_Nalog_adm_BkE_2021_25.09.2020.pdf;https://uriu.ranepa.ru/sveden/employees.php;https://pps.ranepa.ru/Publication2/2017/9fce34f1-54ed-4176-b746-31f91183fa3f/%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%BE%D1%81%D0%BD%D0%BE%D0%B2%D0%BD%D1%8B%D1%85%20%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D0%B5%D0%B9%20%D1%81%D0%B5%D1%82%D0%B5%D0%B2%D0%BE%D0%B3%D0%BE%20%D0%B2%D0%B7%D0%B0%D0%B8%D0%BC%D0%BE%D0%B4%D0%B5%D0%B9%D1%81%D1%82%D0%B2%D0%B8%D1%8F%20%D0%BE%D0%B1%D1%80%D0%B0%D0%B7%D0%BE%D0%B2.pdf;https://www.alt.ranepa.ru/files/texts/vest/2021_02_16_informa.pdf
Российский+национальный+исследовательский+медицинский+ун-т.+им.+Н.И.+Пирогова,+г.+Москва; 83.4; 0.2;1605;86; Да;https://rsmu.ru/abitur/;;0
Российский+гос.+аграрный+ун-т.+—+МСХА+им.+К.А.+Тимирязева,+г.+Москва; 67.4; 0.7;1887;3; Да;https://www.timacad.ru/incoming;;0
Российский+гос.+педагогический+ун-т.+им.+А.И.+Герцена,+г.+Санкт-Петербург; 79.7;1;1351;31; Да;https://www.herzen.spb.ru/abiturients/;;https://www.herzen.spb.ru/main/structure/fukultets/mat/1456734533;https://www.herzen.spb.ru/main/structure/fukultets/fit/1381402262/1381410911/;https://www.herzen.spb.ru/main/structure/inst/iknto/1456400024/;https://www.herzen.spb.ru/sveden/education/1516123943;https://www.herzen.spb.ru/sveden/education/;https://www.herzen.spb.ru/sveden/vacant/;https://www.herzen.spb.ru/uploads/asemihina/files/%D0%9F%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D0%B0%20%D0%BF%D1%80%D0%B8%D0%B5%D0%BC%D0%B0%202022.docx;https://www.herzen.spb.ru/abiturients/pk/1447679432/;https://www.herzen.spb.ru/main/structure/inst/iknto/1441365508/1443165909/1535636233/;https://www.herzen.spb.ru/uploads/wdegusarowa/files/%D0%9F%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D0%B0%20%D0%BF%D1%80%D0%B8%D0%B5%D0%BC%D0%B0%202021_%D1%81%20%D0%B8%D0%B7%D0%BC%D0%B5%D0%BD%D0%B5%D0%BD%D0%B8%D1%8F%D0%BC%D0%B8%20%D0%B8%20%D0%B4%D0%BE%D0%BF%D0%BE%D0%BB%D0%BD%D0%B5%D0%BD%D0%B8%D1%8F%D0%BC%D0%B8.pdf
Российский+гос.+геологоразведочный+ун-т.+им.+Серго+Орджоникидзе,+г.+Москва; 67.1; -0.8;382;0; Да;https://mgri.ru/commission/;;0
Российский+гос.+гидрометеорологический+ун-т.,+г.+Санкт-Петербург; 69.5; -0.3;466;0; Нет;http://dovus.rshu.ru/content/priemkom/abit;;0
Российский+гос.+гуманитарный+ун-т.,+г.+Москва; 84.8; -1.3;565;5; Да;https://www.rsuh.ru/abitur/;;https://www.rsuh.ru/upload/main/fdta/sbornik_genreglament_2020.pdf
Российский+гос.+профессионально-педагогический+ун-т.,+г.+Екатеринбург; 73.2; -3.6;504;0; Нет;https://www.rsvpu.ru/abiturientu/;;http://rsvpu.ru/abitur/bachelor/plan-priema/
Российский+гос.+ун-т.+им.+А.Н.+Косыгина+(Технологии.+Дизайн.+Искусство),+г.+Москва; 77.1;1;1125;20; Да;https://kosygin-rgu.ru/abiturient/index.aspx;;https://kosygin-rgu.ru/abiturient/plan_priema.aspx;https://kosygin-rgu.ru/abiturient/napravlenianew1.aspx;https://kosygin-rgu.ru/vuz/aboutminobr/obr/napr/bak/090301.aspx;https://kosygin-rgu.ru/abiturient/plan_krim.aspx;https://kosygin-rgu.ru/filemanag/Uploads/abiturient/prikaziozachislenii/2020/0912/%D0%9F%D0%A0%D0%9E%D0%95%D0%9A%D0%A2%20%D0%BE%D1%82%2012.09.2020%20(%D0%B1%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80%D0%B8%D0%B0%D1%82%20%D0%B4%D0%BE%D0%B3%D0%BE%D0%B2%D0%BE%D1%80%20%D0%BE%D1%87%D0%BD%D0%B0%D1%8F,%20%D0%BE%D1%87%D0%BD%D0%BE_%D0%B7%D0%B0%D0%BE%D1%87%D0%BD%D0%B0%D1%8F).pdf;https://kosygin-rgu.ru/filemanag/Uploads/abiturient/prikaziozachislenii/2020/0912/%D0%9F%D0%A0%D0%9E%D0%95%D0%9A%D0%A2%20%D0%BE%D1%82%2012.09.2020%20(%D0%B1%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80%D0%B8%D0%B0%D1%82%20%D0%B4%D0%BE%D0%B3%D0%BE%D0%B2%D0%BE%D1%80%20%D0%BE%D1%87%D0%BD%D0%B0%D1%8F,%20%D0%BE%D1%87%D0%BD%D0%BE_%D0%B7%D0%B0%D0%BE%D1%87%D0%BD%D0%B0%D1%8F)%201.pdf;https://kosygin-rgu.ru/filemanag/Uploads/sveden/document/Othet_o_samoobsledovanii_Date13.04.2021%20n1.pdf;https://kosygin-rgu.ru/filemanag/Uploads/umo/08-06-2018/%D0%B4%D0%BE%D0%BA%D0%BB%D0%B0%D0%B4%20%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%B0%20477260-7.pdf;https://kosygin-rgu.ru/filemanag/Uploads/news/21-12-2020/%D0%A1%D0%98-2020%20%D0%A7%D0%B0%D1%81%D1%82%D1%8C%204.pdf
