university;average exam score;rise/fall;number of enrolled students;no exams;average score minus individual achievements;link
;;;;;;
Адыгейский+гос.+ун-т.,+г.+Майкоп; 63.0;0;620;0; Нет;0
;;;;;;
Алтайский+гос.+аграрный+ун-т.,+г.+Барнаул; 56.3; -2.4;523;0; Нет;0
;;;;;;
Алтайский+гос.+медицинский+ун-т.,+г.+Барнаул; 69.8; -3.9;619;0; Да;0
;;;;;;
Алтайский+гос.+педагогический+ун-т.,+г.+Барнаул; 66.7; -1.1;712;1; Да;0
;;;;;;
Алтайский+гос.+техн.+ун-т.+им.+И.И.+Ползунова,+г.+Барнаул; 66.5; 2.8;1061;3; Нет;0
;;;;;;
Алтайский+гос.+ун-т.,+г.+Барнаул; 74.4; 1.7;1420;23; Да;0
;;;;;;
Амурская+гос.+медицинская+академия,+г.+Благовещенск; 62.4; -2.1;332;0; Да;https://ruvuz.ru/blagoveschensk/amurskaya-gma
;;;;;;
Амурский+гос.+ун-т.,+г.+Благовещенск; 61.3; -2.2;602;0; Нет;0
;;;;;;
Арзамасский+филиал+Национального+исследовательского+Нижегородского+государственного+ун-т.а+им.+Н.И.+Лобачевского; 62.9; 0.1;305;0; Да;https://ruvuz.ru/370000-psihologicheskie-nauki/370502-psihologiya-sluzhebnoj-deyatelnosti/ochnaya-forma-obucheniya
;;;;;;
Арктический+гос.+агротехнол.+ун-т.; 48.7; -11.8;368;0; Нет;0
;;;;;;
Армавирский+гос.+педагогический+ун-т.; 64.5; -1.2;500;0; Нет;https://ruvuz.ru/moskva/ranhigs/3277-institut-ekonomiki-matematiki-i-informatsionnyih-tehnologij--ekonomicheskij-fakultet-/380000-ekonomika-i-upravlenie/380303-upravlenie-personalom
;;;;;;
Астраханский+гос.+медицинский+ун-т.; 70.8; -0.8;372;0; Да;https://ruvuz.ru/irkutsk
;;;;;;
Астраханский+гос.+техн.+ун-т.; 56.8;-2;561;0; Нет;https://ruvuz.ru/irkutsk
;;;;;;
Астраханский+гос.+ун-т.; 63.9; -2.2;695;1; Да;0
;;;;;;
Байкальский+гос.+ун-т.,+г.+Иркутск; 71.4; -3.1;342;0; Да;https://ruvuz.ru/irkutsk
;;;;;;
"Балтийский+гос.+техн.+ун-т.+""Военмех""+им.+Д.Ф.+Устинова,+г.+Санкт-Петербург"; 74.1; -0.6;946;0; Нет;https://ruvuz.ru/170000-oruzhie-i-sistemyi-vooruzheniya
;;;;;;
Балтийский+федеральный+ун-т.+им.+И.+Канта; 77.9; 0.3;1312;11; Нет;https://ruvuz.ru/kaliningrad/bfu
;;;;;;
Башкирский+гос.+аграрный+ун-т.,+г.+Уфа; 61.4; 0.5;647;0; Нет;0
;;;;;;
Башкирский+гос.+медицинский+ун-т.,+г.+Уфа; 73.5; -3.1;870;0; Да;0
;;;;;;
Башкирский+гос.+педагогический+ун-т.+им.+М.+Акмуллы,+г.+Уфа; 71.8; 1.7;734;1; Нет;0
;;;;;;
Башкирский+гос.+ун-т.,+г.+Уфа; 67.6; -2.1;1011;4; Да;0
;;;;;;
Белгородский+гос.+аграрный+ун-т.+им.+В.Я.+Горина; 60.0; 1.3;407;0; Нет;0
;;;;;;
Белгородский+гос.+национальный+исследовательский+ун-т.; 66.8; -2.5;1460;2; Да;0
;;;;;;
Белгородский+гос.+технол.+ун-т.+им.+В.Г.+Шухова; 67.7; -1.5;1342;3; Нет;0
;;;;;;
Бирский+филиал+Башкирского+государственного+ун-т.а; 63.4; 0.3;365;0; Да;https://ruvuz.ru/060000-biologicheskie-nauki/060301-biologiya/ochno-zaochnaya-forma-obucheniya
;;;;;;
Благовещенский+гос.+педагогический+ун-т.; 62.7; -0.9;427;0; Нет;0
;;;;;;
Братский+гос.+ун-т.; 53.2; -5.2;355;0; Да;0
;;;;;;
Брянский+гос.+аграрный+ун-т.; 48.8;0;391;0; Нет;0
;;;;;;
Брянский+гос.+техн.+ун-т.; 63.1; -0.8;771;0; Да;0
;;;;;;
Брянский+гос.+ун-т.+им.+И.Г.+Петровского; 71.2; 0.8;349;0; Нет;0
;;;;;;
Бурятская+гос.+сельскохозяйственная+академия+им.+В.Р.+Филиппова,+г.+Улан-Удэ; 58.0; 0.6;399;0; Нет;https://ruvuz.ru/ulan-ude/bgsha-imeni-vr-filippova
;;;;;;
Бурятский+гос.+ун-т.,+г.+Улан-Удэ; 63.0; -0.9;792;0; Да;0
;;;;;;
Владивостокский+гос.+ун-т.+экономики+и+сервиса; 65.6; -6.8;357;0; Нет;0
;;;;;;
Владимирский+гос.+ун-т.; 64.0; -1.9;1420;0; Да;0
;;;;;;
Волгоградский+гос.+аграрный+ун-т.; 55.5; -3.5;709;0; Нет;0
;;;;;;
Волгоградский+гос.+медицинский+ун-т.; 73.8; -1.8;675;0; Да;0
;;;;;;
Волгоградский+гос.+социально-педагогический+ун-т.; 67.8; -1.3;889;0; Да;0
;;;;;;
Волгоградский+гос.+техн.+ун-т.; 64.2; 0.3;1198;0; Да;0
;;;;;;
Волгоградский+гос.+ун-т.; 69.0; -0.9;969;1; Да;https://ruvuz.ru/sochi/miu/bakalavriat-i-spetsialitet
;;;;;;
Волжский+гос.+ун-т.+водного+транспорта,+г.+Нижний+Новгород; 53.4; -0.3;480;0; Нет;0
;;;;;;
Вологодская+гос.+молочнохозяйственная+академия+им.+Н.В.+Верещагина; 48.3; -5.4;461;0; Нет;https://ruvuz.ru/molochnoe/vgmha
;;;;;;
Вологодский+гос.+ун-т.; 66.6;0;834;0; Да;0
;;;;;;
Воронежский+гос.+аграрный+ун-т.+им.+императора+Петра+I+(бывшая+им.+К.Д.+Глинки); 58.0; 0.1;768;0; Нет;0
;;;;;;
Воронежский+гос.+лесотехн.+ун-т.+им.+Г.Ф.+Морозова; 64.8; 2.4;352;0; Нет;https://ruvuz.ru/voronezh/vgltu
;;;;;;
Воронежский+гос.+медицинский+ун-т.+им.+Н.Н.+Бурденко; 75.2; -2.5;500;0; Да;0
;;;;;;
Воронежский+гос.+педагогический+ун-т.; 71.3; -1.2;573;0; Нет;0
;;;;;;
Воронежский+гос.+техн.+ун-т.; 66.2;2;1942;6; Нет;0
;;;;;;
Воронежский+гос.+ун-т.; 74.2; -0.2;1734;4; Нет;https://ruvuz.ru/voronezh/vgltu
;;;;;;
Воронежский+гос.+ун-т.+инженерных+технологий; 65.9; 1.8;624;0; Да;0
;;;;;;
Восточно-Сибирский+гос.+ун-т.+технологий+и+управления,+г.+Улан-Удэ; 52.2; -3.8;588;0; Да;0
;;;;;;
Вятская+гос.+сельскохозяйственная+академия,+г.+Киров; 60.1;2;353;0; Да;https://ruvuz.ru/kirov/vyatgsha
;;;;;;
Вятский+гос.+ун-т.,+г.+Киров; 68.2; 0.1;1827;2; Да;0
;;;;;;
Глазовский+гос.+педагогический+ин-т.+им.+В.Г.+Короленко; 66.5; -2.8;440;0; Да;0
;;;;;;
Горно-Алтайский+гос.+ун-т.; 60.2;1;337;0; Нет;0
;;;;;;
Горский+гос.+аграрный+ун-т.,+г.+Владикавказ; 58.2; -1.9;302;0; Нет;0
;;;;;;
Гос.+аграрный+ун-т.+Северного+Зауралья,+г.+Тюмень; 56.8; -3.1;502;0; Нет;0
;;;;;;
Гос.+гуманитарно-технол.+ун-т.,+г.+Орехово-Зуево; 66.0; -1.9;370;0; Нет;0
;;;;;;
Гос.+социально-гуманитарный+ун-т.,+г.+Коломна; 69.7; 0.1;365;0; Нет;0
;;;;;;
"Гос.+ун-т.+""Дубна"""; 72.6; -1.3;543;2; Нет;0
;;;;;;
Гос.+ун-т.+морского+и+речного+флота+им.+адмирала+С.О.+Макарова,+г.+Санкт-Петербург; 67.8; -2.5;1002;0; Нет;0
;;;;;;
Гос.+ун-т.+по+землеустройству,+г.+Москва; 65.2; -1.3;425;0; Нет;0
;;;;;;
Гос.+ун-т.+управления,+г.+Москва; 85.4; 1.7;461;4; Нет;https://ruvuz.ru/380000-ekonomika-i-upravlenie/380304-gosudarstvennoe-i-munitsipalnoe-upravlenie
;;;;;;
Грозненский+гос.+нефтяной+техн.+ун-т.+им.+академика+М.Д.+Миллионщикова; 63.6; -0.3;658;0; Да;0
;;;;;;
Дагестанский+гос.+аграрный+ун-т.,+г.+Махачкала; 67.0; -6.4;324;0; Нет;0
;;;;;;
Дагестанский+гос.+медицинский+ун-т.,+г.+Махачкала; 72.8;1;644;0; Да;https://ruvuz.ru/mahachkala/dgmu
;;;;;;
Дагестанский+гос.+педагогический+ун-т.,+г.+Махачкала; 56.6; -0.4;824;0; Да;0
;;;;;;
Дагестанский+гос.+техн.+ун-т.,+г.+Махачкала; 59.8;-2;622;1; Да;0
;;;;;;
Дагестанский+гос.+ун-т.,+г.+Махачкала; 63.0; -0.4;1025;19; Нет;https://ruvuz.ru/mahachkala/dgmu
;;;;;;
Дагестанский+гос.+ун-т.+народного+хозяйства,+г.+Махачкала; 70.2; -7.1;595;0; Да;0
;;;;;;
Дальневосточный+гос.+аграрный+ун-т.,+г.+Благовещенск; 49.2;-1;411;0; Нет;0
;;;;;;
Дальневосточный+гос.+медицинский+ун-т.,+г.+Хабаровск; 66.3; -2.9;454;0; Нет;0
;;;;;;
Дальневосточный+гос.+техн.+рыбохозяйственный+ун-т.,+г.+Владивосток; 50.9; -2.7;399;0; Нет;0
;;;;;;
Дальневосточный+гос.+ун-т.+путей+сообщения,+г.+Хабаровск; 57.1; -1.7;1091;0; Да;0
;;;;;;
Дальневосточный+федеральный+ун-т.; 73.0; -0.3;2649;25; Нет;https://ruvuz.ru/vladivostok/dvfu
;;;;;;
Донской+гос.+аграрный+ун-т.,+пос.+Персиановский; 53.0; -10.9;359;0; Нет;0
