Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Алтайский государственный педагогический университет ; 66.7; -1.1; 712; 1; Да;бакалавриат;25;124.0;97600;0;0;0;0;656031, г.Барнаул, ул.Молодежная,55;False;True
 Алтайский государственный университет ; 74.4; 1.7; 1420; 23; Да;бакалавриат;25;124.0;97600;магистратура;14;54.0;126800;656031, г.Барнаул, ул.Молодежная,55;False;True
 Армавирский государственный педагогический университет; 64.5; -1.2; 500; 0; Нет;бакалавриат;;;;0;0;0;0;352901, город Армавир Краснодарского края, улица Розы Люксембург, 159;False;True
 Астраханский государственный университет; 63.9; -2.2; 695; 1; Да;бакалавриат;23;0.0;;0;0;0;0;414056, Россия, г. Астрахань, ул. Татищева, 20а;False;False
 Байкальский государственный университет ; 71.4; -3.1; 342; 0; Да;бакалавриат;14;123.0;40000;магистратура;12;36.0;58000;664003, г.Иркутск, ул.Ленина, д.11;True;True
 Башкирский государственный университет ; 67.6; -2.1; 1011; 4; Да;бакалавриат;12;194.0;120000;0;0;0;0;450008, Республика Башкортостан, г.Уфа, ул.Октябрьской революции, 3-а;False;True
 Белгородский государственный национальный исследовательский университет; 66.8; -2.5; 1460; 2; Да;бакалавриат;48;194.0;73900;магистратура;;;;308015, Белгородская область, г. Белгород, ул. Победы, д. 85;False;False
 Братский государственный университет; 53.2; -5.2; 355; 0; Да;бакалавриат;2;0.0;49660;0;0;0;0;665709, Иркутская область, г.Братск, ул.Макаренко, д.40;False;True
 Брянский государственный аграрный университет; 48.8; 0; 391; 0; Нет;бакалавриат;0;105.0;25000;магистратура;0;0.0;128065;243365, Брянская область, Выгоничский район, село Кокино, улица Советская, дом 2а;False;True
 Брянский государственный технический университет; 63.1; -0.8; 771; 0; Да;бакалавриат;25;123.0;39600;магистратура;0;0.0;50000;241035, г.Брянск, бульвар 50 лет Октября, д.7;False;True
