Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Адыгейский государственный университет ; 63.0; 0; 620; 0; Нет;бакалавриат;0;126.0;97000;0;0;0;0;2e93a6c1-cb86-4fd4-9ad0-ef513da1e022;385000, Республика Адыгея, г.Майкоп, ул.Первомайская, 208;False;True;https://adygnet.ru/upload/docs/applicants/pk-2021/pk_2021_10.pdf
 Алтайский государственный университет ; 74.4; 1.7; 1420; 23; Да;бакалавриат;0;118.0;103000;0;0;0;0;fada72f4-aab6-439a-9ee4-a0871d3669f0;РОССИЯ, 656038, Алтайский край, Барнаул г, Ленина пр-кт, дом 46;True;False;https://www.altstu.ru/media/f/KCP-2022-dlya-sajta.pdf
 Байкальский государственный университет ; 71.4; -3.1; 342; 0; Да;бакалавриат;6;238.0;98000;0;0;0;0;c4919508-4bf8-4ee0-aeca-a137afe1666c;664003, г.Иркутск, ул.Ленина, д.11;True;True;http://bgu.ru/abitur/bach/plan.aspx
 Башкирский государственный аграрный университет ; 61.4; 0.5; 647; 0; Нет;бакалавриат;0;0.0;46600;0;0;0;0;157d9b07-2c24-4dd5-b90f-0beb9debd8ad;450001, Республика Башкортостан, г. Уфа, ул. 50-летия Октября, 34;False;True;https://bsau.ru/abitur/bachelor-and-specialist
 Башкирский государственный университет ; 67.6; -2.1; 1011; 4; Да;бакалавриат;0;0.0;110400;магистратура;5;40.0;60000;7fc31ed1-f781-43a2-8d92-c35a979512be;г. Уфа, ул. Заки Валиди, д. 32;False;True;https://pk.bashedu.ru/plan-priema
 Белгородский государственный национальный исследовательский университет; 66.8; -2.5; 1460; 2; Да;бакалавриат;0;0.0;76000;магистратура;;;;cf1fddeb-db35-49a5-918c-1c570f2c09c8;308015, Белгородская область, г. Белгород, ул. Победы, д. 85;False;False;http://abitur.bsu.edu.ru/abitur/priem/places/
 Брянский государственный университет имени И.Г. Петровского; 71.2; 0.8; 349; 0; Нет;бакалавриат;;;;0;0;0;0;0c5b7ed2-24fb-4a2e-a1f6-8675f55361e7;241036, г. Брянск, ул. Бежицкая,  14;False;True;https://brgu.ru/Abitur/bank/2021/doc/bachelor/2.pdf
 Владимирский государственный университет; 64.0; -1.9; 1420; 0; Да;бакалавриат;7;211.0;110510;магистратура;;;37800;73d9f15a-7469-4a82-8a6f-2d21b03fd7d7;600000, г.Владимир, ул.Горького, 87;False;True;https://prkom.vlsu.ru/plan.html
 Волгоградский государственный технический университет; 64.2; 0.3; 1198; 0; Да;бакалавриат;5;225.0;108880;0;0;0;0;47876a8f-55b1-4cf0-b247-867a9a3add86;400005, г. Волгоград, проспект им. Ленина, д.28;False;True;https://welcome.vstu.ru/acceptance/Abitur/#kolmest
 Волгоградский государственный университет; 69.0; -0.9; 969; 1; Да;бакалавриат;5;225.0;108880;0;0;0;0;47876a8f-55b1-4cf0-b247-867a9a3add86;400005, г. Волгоград, проспект им. Ленина, д.28;False;True;https://welcome.vstu.ru/acceptance/Abitur/#kolmest
 Воронежский государственный университет; 74.2; -0.2; 1734; 4; Нет;бакалавриат;0;0.0;107500;магистратура;0;0.0;48000;0601c9a2-10c1-4830-9947-a322cd4f79a5;394018, г.Воронеж, Университетская пл., д.1;True;True;http://www.abitur.vsu.ru/sites/default/files/admission2022/10_kcp.pdf
