Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Алтайский государственный аграрный университет ; 56.3; -2.4; 523; 0; Нет;бакалавриат;12;252.0;28500;0;0;0;0;ae7e5df1-bfb6-4713-bcbe-165ff677d9f2;Российская Федерация, 656049, Алтайский край, г. Барнаул, пр-т Красноармейский, д. 98;False;True;http://www.asau.ru/ru/abitur/5223-napravleniya-podgotovki-i-kolichestvo-mest
 Алтайский государственный университет ; 74.4; 1.7; 1420; 23; Да;бакалавриат;12;252.0;28500;0;0;0;0;ae7e5df1-bfb6-4713-bcbe-165ff677d9f2;Российская Федерация, 656049, Алтайский край, г. Барнаул, пр-т Красноармейский, д. 98;False;True;http://www.asau.ru/ru/abitur/5223-napravleniya-podgotovki-i-kolichestvo-mest
 Арктический государственный агротехнологический университет; 48.7; -11.8; 368; 0; Нет;бакалавриат;10;99.0;63000;магистратура;15;40.0;58000;b70de9cd-9411-4405-b98e-7df997cd0254;677007, Республика Саха (Якутия), г.Якутск, ш. Сергеляхское, 3 км., д.3;False;True;https://agatu.ru/postupayushim/pravila-priema-po-programmam-vo-2022/ 
 Воронежский государственный университет; 74.2; -0.2; 1734; 4; Нет;бакалавриат;0;0.0;39000;магистратура;22;10.0;48000;eba4da73-1a42-4dd8-8586-2e3d729f2c9e;394036, г.Воронеж, проспект Революции, 19;False;True;https://vsuet.ru/abitur
 Воронежский государственный университет инженерных технологий; 65.9; 1.8; 624; 0; Да;бакалавриат;0;0.0;39000;магистратура;0;0.0;43100;eba4da73-1a42-4dd8-8586-2e3d729f2c9e;394036, г.Воронеж, проспект Революции, 19;False;True;https://vsuet.ru/abitur
 Горский государственный аграрный университет ; 58.2; -1.9; 302; 0; Нет;бакалавриат;13;;25000;магистратура;2;;26000;0929e6c4-93c9-477a-97ee-6a674d877077;362040, Республика Северная Осетия-Алания, г.Владикавказ, Кирова, д.37;False;True;https://gorskigau.ru/Portals/0/%D0%9F%D0%A0%D0%98%D0%95%D0%9C%D0%9D%D0%90%D0%AF/2021/mpg2021-2935-2935-b5a10198a6414ca51573d088302ab5c6.pdf?ver=2020-11-10-140252-680
 Государственный аграрный университет Северного Зауралья ; 56.8; -3.1; 502; 0; Нет;бакалавриат;12;104.0;31220;магистратура;8;75.0;134701;cf33956b-925a-4c2e-916d-274b05a495c9;Российская Федерация, 625003, Тюменская область, г. Тюмень, Республики, д. 7;False;True;http://www.tsaa.ru/priemnaya-komissiya/priyomnaya-kampaniya-2022/dokumentyi-i-polozheniya/9.-kolichestvo-mest-dlya-priema-na-obuchenie-po-razlichnyim-usloviyam-postupleniya-v-ramkax-kontrolnyix-czifr-bez-ukazaniya-czelevoj-kvotyi-i-osoboj-kvotyi
 Дагестанский государственный аграрный университет ; 67.0; -6.4; 324; 0; Нет;бакалавриат;;;;магистратура;;;;19bddf52-9cb6-48b9-b07c-b6c704075dab;367032, Республика Дагестан, г.Махачкала, ул.Магомета Гаджиева, 180;False;True;https://xn--80aaiac8g.xn--p1ai/abitur
 Дагестанский государственный университет ; 63.0; -0.4; 1025; 19; Нет;бакалавриат;;;;магистратура;;;;19bddf52-9cb6-48b9-b07c-b6c704075dab;367032, Республика Дагестан, г.Махачкала, ул.Магомета Гаджиева, 180;False;True;https://xn--80aaiac8g.xn--p1ai/abitur
 Дальневосточный государственный аграрный университет ; 49.2; -1; 411; 0; Нет;бакалавриат;16;100.0;188160;магистратура;9;39.0;200690;4a286e1d-6de1-4230-a16d-6e6508dd702c;675005, Амурская область, г. Благовещенск, ул. Политехничсекая, 86;False;True;https://www.dalgau.ru/upload/iblock/23b/10-Kolichestvo-mest-dlya-priema-na-obuchenie-po-razlichnym-usloviyam-postupleniya.pdf
