Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Алтайский государственный университет ; 74.4; 1.7; 1420; 23; Да;бакалавриат;20;229.0;119500;0;0;0;0;fada72f4-aab6-439a-9ee4-a0871d3669f0;РОССИЯ, 656038, Алтайский край, Барнаул г, Ленина пр-кт, дом 46;True;False;https://www.altstu.ru/media/f/KCP-2022-dlya-sajta.pdf
 Астраханский государственный университет; 63.9; -2.2; 695; 1; Да;бакалавриат;15;175.0;95000;0;0;0;0;bd14262d-d476-4582-a62d-b42571f9425c;414056, г.Астрахань, ул.Татищева, 18;False;True;https://xn--80aai1dk.xn--p1ai/images/files/priemka/2022/kol_mest_pr_B_2022.pdf
 Волгоградский государственный технический университет; 64.2; 0.3; 1198; 0; Да;бакалавриат;25;233.0;126250;0;0;0;0;47876a8f-55b1-4cf0-b247-867a9a3add86;400005, г. Волгоград, проспект им. Ленина, д.28;False;True;https://welcome.vstu.ru/acceptance/Abitur/#kolmest
 Волгоградский государственный университет; 69.0; -0.9; 969; 1; Да;бакалавриат;25;233.0;126250;0;0;0;0;47876a8f-55b1-4cf0-b247-867a9a3add86;400005, г. Волгоград, проспект им. Ленина, д.28;False;True;https://welcome.vstu.ru/acceptance/Abitur/#kolmest
 Воронежский государственный технический университет; 66.2; 2; 1942; 6; Нет;бакалавриат;23;159.0;115800;магистратура;10;35.0;122860;cefffdd8-1e73-49e7-b507-eafa1da4f8f9;394006, г. Воронеж, ул. 20-летия Октября, 84;True;True;https://cchgeu.ru/upload/abiturientu/info/2020/Plan-priema-2021.pdf
 Воронежский государственный университет; 74.2; -0.2; 1734; 4; Нет;бакалавриат;23;159.0;115800;магистратура;10;35.0;122860;cefffdd8-1e73-49e7-b507-eafa1da4f8f9;394006, г. Воронеж, ул. 20-летия Октября, 84;True;True;https://cchgeu.ru/upload/abiturientu/info/2020/Plan-priema-2021.pdf
 Грозненский государственный нефтяной технический университет имени академика М.Д. Миллионщикова; 63.6; -0.3; 658; 0; Да;бакалавриат;0;0.0;99927;0;0;0;0;ab1fe8ec-5e0d-48f5-8c27-14c5c97b83af;364051, Чеченская Республика, г.Грозный, пр.им.Х.А.Исаева, 100;False;True;https://gstou.ru/files/priemnaya_kampaniya_2022/kcp_2022.pdf?1649771373
 Дальневосточный федеральный университет; 73.0; -0.3; 2649; 25; Нет;бакалавриат;25;259.0;210000;магистратура;22;73.0;290000;b1d399f2-cba7-428e-83a0-8f648c08f7aa;690950, Приморский край, г. Владивосток, ул. Суханова, д. 8;True;True;https://www.dvfu.ru/upload/medialibrary/4e4/cmsvctuegg5miib715u5ecte4x9mhmo0/%D0%9A%D0%BE%D0%BB%D0%B8%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%BE%20%D0%B1%D1%8E%D0%B4%D0%B6%D0%B5%D1%82%D0%BD%D1%8B%D1%85%20%D0%BC%D0%B5%D1%81%D1%82%20%D0%B4%D0%BB%D1%8F%20%D0%BF%D1%80%D0%B8%D0%B5%D0%BC%D0%B0%202022-23%20%D0%BF%D0%BE%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B0%D0%BC%20%D0%B1%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80%D0%B8%D0%B0%D1%82%D0%B0%20%D0%B8%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B0%D0%BC%20%D1%81%D0%BF%D0%B5%D1%86%D0%B8%D0%B0%D0%BB%D0%B8%D1%82%D0%B5%D1%82%D0%B0.pdf
 Казанский государственный архитектурно-строительный университет; 76.5; 1.4; 429; 0; Да;бакалавриат;12;406.0;134300;магистратура;8;40.0;142700;3701c2ba-e000-42df-bf9d-4fc3a8fb8fd0;420043, Россия, Республика Татарстан, г.Казань, ул Зеленая,  д.1;False;True;https://www.kgasu.ru/applicant/priem2021/files/2021_kolmest_dlja_priema_na_obuchenie.pdf
 Нижегородский государственный архитектурно-строительный университет; 69.2; -1.3; 732; 0; Нет;бакалавриат;20;283.0;185000;магистратура;5;70.0;165000;e840fa81-67ac-4b9d-9f18-5beb42d239bd;603950 г.Нижний Новгород ул.Ильинская, д. 65;False;True;https://nngasu.ru/entrant/2021_%D0%B1%D0%B0%D0%BA-%D1%81%D0%BF%D0%B5%D1%86_%D0%9F%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5%201%20(%D0%BA%D0%BE%D0%BB%D0%B8%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%BE%20%D0%BC%D0%B5%D1%81%D1%82)___.pdf
 Российский университет дружбы народов ; 86.3; 3.5; 1029; 202; Да;бакалавриат;8;354.0;274850;0;0;0;0;e73bd5e9-f67c-48fe-8513-6ed08b1b3d10;117198, г.Москва, ул. Миклухо-Маклая, д.6;False;True;http://admission.rudn.ru/?pagec=5970
 Самарский государственный технический университет; 68.1; 1; 2012; 6; Нет;бакалавриат;2;429.0;119000;0;0;0;0;38cde29e-6691-481d-b30f-79282fbd19a5;443100, г.Самара, ул.Молодогвардейская, 244;True;True;https://samgtu.ru/uploads/admission/2022/kcp_2022.pdf
 Санкт-Петербургский государственный архитектурно-строительный университет; 78.3; 0.4; 1181; 0; Нет;бакалавриат;31;330.0;288000;магистратура;33;80.0;288000;dc76ebd1-970b-44ee-a0d2-36ad701f5d18;190005, Санкт-Петербург, 2-я Красноармейская улица, д. 4;False;True;https://www.spbgasu.ru/Abiturientam/Priem/Kontrolnye_cifry_priema/
 Санкт-Петербургский государственный университет; 92.0; 0.1; 2136; 366; Да;бакалавриат;31;330.0;288000;магистратура;33;80.0;288000;dc76ebd1-970b-44ee-a0d2-36ad701f5d18;190005, Санкт-Петербург, 2-я Красноармейская улица, д. 4;False;True;https://www.spbgasu.ru/Abiturientam/Priem/Kontrolnye_cifry_priema/
 Санкт-Петербургский политехнический университет Петра Великого; 82.6; 0.2; 2958; 133; Да;бакалавриат;25;220.0;340000;магистратура;15;50.0;360000;e3d73e9c-9ffd-46e8-a231-64ba108cb256;195251, г.Санкт-Петербург, ул.Политехническая, 29;True;True;https://www.spbstu.ru/abit/bachelor/apply/perechen-napravleniy-podgotovki/
 Саратовский государственный технический университет; 66.5; 1.8; 1098; 0; Нет;бакалавриат;20;268.0;113080;0;0;0;0;06d0f532-f5cb-4cfe-abbf-05f72e0cc05a;410054, г.Саратов, ул.Политехническая, д. 77;True;True;https://www.sstu.ru/upload/medialibrary/86b/Kol_mest_VO_2021_bak_i_spets_mart_21-_2_.docx
 Сибирский федеральный университет; 70.1; -1; 3337; 8; Да;бакалавриат;25;308.0;176934;0;0;0;0;ed090e19-9cf6-40f3-b40d-d4f69a2aabea;660041, Красноярский край, г. Красноярск, просп. Свободный, д. 79;True;True;https://admissions.sfu-kras.ru/exams
 Томский государственный архитектурно-строительный университет; 70.6; 0.5; 670; 0; Нет;бакалавриат;;;;магистратура;;;;7889689a-636f-4afd-b842-e3bfe3a1c125;634003, г.Томск, пл.Соляная, д.2;False;True;https://www.tsuab.ru/abitur/bachelor/#abitur_plan_priema
 Тюменский индустриальный университет; 66.1; -1; 2206; 2; Да;бакалавриат;18;301.0;;0;0;0;0;f2954ac7-d586-4f62-a46e-1281bb11f417;625000, Тюменская область, г. Тюмень, ул. Володарского, д. 38;False;False;https://www.tyuiu.ru/abitur/
 Ульяновский государственный технический университет; 66.8; 0.8; 888; 1; Да;бакалавриат;14;274.0;99040;магистратура;15;75.0;126810;aacb4345-caf2-4e42-be39-1675efdd8046;432027, г.Ульяновск, ул.Северный Венец, 32;False;True;https://ulstu.ru/upload/iblock/fe0/KCP_C_2021.pdf
 Ульяновский государственный университет; 66.3; -1; 853; 0; Нет;бакалавриат;14;274.0;99040;магистратура;15;75.0;126810;aacb4345-caf2-4e42-be39-1675efdd8046;432027, г.Ульяновск, ул.Северный Венец, 32;False;True;https://ulstu.ru/upload/iblock/fe0/KCP_C_2021.pdf
 Череповецкий государственный университет; 65.7; 0.4; 967; 0; Нет;бакалавриат;0;0.0;68487;0;0;0;0;4968869f-f085-4c90-b3ae-6f8a78695407;162600, Россия, Вологодская область, г. Череповец, проспект Советский, д.10;False;True;https://pk.chsu.ru/dokumenty/podannye-zayavleniya.php
