Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Алтайский государственный университет ; 74.4; 1.7; 1420; 23; Да;бакалавриат;10;267.0;109230;магистратура;;;;bd295655-44d9-4ebf-aacf-532fa788e1d3;656049, Алтайский край, г. Барнаул, ул. Ленина, д. 61;False;False;https://www.asu.ru/files/documents/00025000.pdf
 Астраханский государственный университет; 63.9; -2.2; 695; 1; Да;бакалавриат;9;0.0;107613;0;0;0;0;4ae7d82f-0812-449e-9384-407d39da5836;414056, Россия, г. Астрахань, ул. Татищева, 20а;True;False;https://asu.edu.ru/images/File/priem/2022/OBShchEE-KOL-VO-MEST.pdf
 Белгородский государственный национальный исследовательский университет; 66.8; -2.5; 1460; 2; Да;бакалавриат;0;0.0;78300;магистратура;;;;cf1fddeb-db35-49a5-918c-1c570f2c09c8;308015, Белгородская область, г. Белгород, ул. Победы, д. 85;False;False;http://abitur.bsu.edu.ru/abitur/priem/places/
 Брянский государственный университет имени И.Г. Петровского; 71.2; 0.8; 349; 0; Нет;бакалавриат;;;100200;0;0;0;0;0c5b7ed2-24fb-4a2e-a1f6-8675f55361e7;241036, г. Брянск, ул. Бежицкая,  14;False;True;https://brgu.ru/Abitur/bank/2021/doc/bachelor/2.pdf
 Бурятский государственный университет ; 63.0; -0.9; 792; 0; Да;бакалавриат;0;120.0;93800;магистратура;6;65.0;100800;960a9f73-1bdf-4840-89a5-a1aaf5663bc9;"670000, Республика Бурятия, г.Улан-Удэ, ул.Смолина, 24 ""а""";False;True;https://www.bsu.ru/abit/camp2022/bak2022/plan_bak-2022_ocno/
 Волгоградский государственный университет; 69.0; -0.9; 969; 1; Да;бакалавриат;13;244.0;106000;0;0;0;0;630dd527-b5c6-45bd-81b1-48a876f68301;400062, Волгоградская область, г. Волгоград, просп. Университетский, д. 100;False;False;https://volsu.ru/Abitur/plany-priema.php
 Воронежский государственный университет; 74.2; -0.2; 1734; 4; Нет;бакалавриат;7;259.0;107500;магистратура;5;75.0;115500;0601c9a2-10c1-4830-9947-a322cd4f79a5;394018, г.Воронеж, Университетская пл., д.1;True;True;http://www.abitur.vsu.ru/sites/default/files/admission2022/10_kcp.pdf
 Восточно-Сибирский государственный университет технологий и управления ; 52.2; -3.8; 588; 0; Да;бакалавриат;0;0.0;129000;0;0;0;0;4d3bda30-8650-40c7-93f2-3d7302eee693;670013, Республика Бурятия, г.Улан-Удэ, ул.Ключевская, д.40В, строение 1;True;True;https://www.esstu.ru/uportal/document/download.htm?documentId=23749
 Дальневосточный федеральный университет; 73.0; -0.3; 2649; 25; Нет;бакалавриат;37;241.0;210000;магистратура;26;45.0;265000;b1d399f2-cba7-428e-83a0-8f648c08f7aa;690950, Приморский край, г. Владивосток, ул. Суханова, д. 8;True;True;https://www.dvfu.ru/upload/medialibrary/4e4/cmsvctuegg5miib715u5ecte4x9mhmo0/%D0%9A%D0%BE%D0%BB%D0%B8%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%BE%20%D0%B1%D1%8E%D0%B4%D0%B6%D0%B5%D1%82%D0%BD%D1%8B%D1%85%20%D0%BC%D0%B5%D1%81%D1%82%20%D0%B4%D0%BB%D1%8F%20%D0%BF%D1%80%D0%B8%D0%B5%D0%BC%D0%B0%202022-23%20%D0%BF%D0%BE%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B0%D0%BC%20%D0%B1%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80%D0%B8%D0%B0%D1%82%D0%B0%20%D0%B8%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B0%D0%BC%20%D1%81%D0%BF%D0%B5%D1%86%D0%B8%D0%B0%D0%BB%D0%B8%D1%82%D0%B5%D1%82%D0%B0.pdf
 Забайкальский государственный университет; 58.4; -1.8; 818; 0; Нет;бакалавриат;12;201.0;126500;магистратура;0;32.0;70000;013c6781-1230-49aa-a965-6fb1326f849f;672039, Забайкальский край, город Чита, улица Александро-Заводская, дом 30;True;True;http://entrant.zabgu.ru/?page_id=9
 Казанский (Приволжский) федеральный университет; 80.0; -0.5; 2893; 10; Да;бакалавриат;0;0.0;142020;магистратура;7;0.0;0;cf12a1e1-a102-467f-a2df-f2a96ef1e8ad;420008, Республика Татарстан, г. Казань, ул. Кремлевская, д.18;False;True;https://admissions.kpfu.ru/priem-v-universitet/plan-priema-2021-kolichestvo-mest-vstupitelnye-ispytaniya-i-minimalnye-bally
 Калмыцкий государственный университет ; 61.1; 1.9; 729; 0; Нет;бакалавриат;7;239.0;93741;0;0;0;0;3e35d441-fa6f-44ea-9afa-b2b6c3e50251;358000, Республика Калмыкия, г.Элиста, ул.А.С. Пушкина, д.11;False;True;https://www.kalmgu.ru/docs/priemn/bakspec/2021/10.pdf
 Кемеровский государственный университет; 65.8; -0.1; 1334; 3; Нет;бакалавриат;;;65470;0;0;0;0;d6de7b26-79ae-45e5-b657-517f90cc3adb;650000, Кемеровская область - Кузбасс, г. Кемерово, ул.Красная, д.6;False;True;https://kemsu.ru/upload/abiturient/kcp_2021_3.pdf
 Кубанский государственный университет ; 76.6; 0.2; 1766; 7; Да;бакалавриат;11;269.0;125000;0;0;0;0;9476cfaa-2a3e-4135-9b62-954a0e5bbc48;350040, г.Краснодар, ул.Ставропольская, 149;False;True;https://www.kubsu.ru/sites/default/files/insert/page/2022_places_b_0.pdf
 Московский государственный институт международных отношений; 96.7; 0.5; 405; 102; Да;бакалавриат;75;294.0;672000;магистратура;;;;369c2dcf-ea09-4000-9003-e19dbd0a72c9;119454, г.Москва, проспект Вернадского, дом 76;True;True;https://abiturient.mgimo.ru/upload/ckeditor/files/bac_priem_2021.pdf
 Московский государственный лингвистический университет; 89.6; 0; 532; 48; Да;бакалавриат;22;271.0;330000;магистратура;9;178.0;300000;c82597fb-d8dd-484c-a440-c60fe86a6c25;119034, г.Москва, ул. Остоженка, д. 38, стр. 1;True;True;https://linguanet.ru/upload/medialibrary/ae4/ae4f9f3d333661e403f0d49b7b6d46df.pdf
 Московский государственный университет имени М.В. Ломоносова; 90.2; -0.6; 3835; 496; Да;бакалавриат;;;;0;0;0;0;c0e2707c-2b2c-4ad6-833f-84d1c7a4f2df;119991,г. Москва, Ленинские Горы,д.1;True;True;http://cpk.msu.ru/files/2021/kcp_bak.pdf
 Национальный исследовательский Томский государственный университет; 80.1; 0.7; 2109; 127; Да;бакалавриат;;;;магистратура;;;;9dcc834c-4241-4fcd-b482-005315a24f28;634050, г. Томск, пр. Ленина 36;True;True;http://abiturient.tsu.ru/sites/default/files/prilozhenie_1.1_bakalavriat_i_specialitet_16032021.pdf
 Российский университет дружбы народов ; 86.3; 3.5; 1029; 202; Да;бакалавриат;2;296.0;321500;магистратура;4;83.0;264000;e73bd5e9-f67c-48fe-8513-6ed08b1b3d10;117198, г.Москва, ул. Миклухо-Маклая, д.6;False;True;http://admission.rudn.ru/?pagec=5970
 Санкт-Петербургский государственный университет; 92.0; 0.1; 2136; 366; Да;бакалавриат;0;0.0;101000;магистратура;0;0.0;109000;13188e21-9b53-41ef-b774-a9086241e466;191186, г.Санкт-Петербург, Набережная реки Мойки, д.61, Литера А;True;True;https://www.sut.ru/doci/abbit/b.pdf
 Санкт-Петербургский государственный экономический университет; 85.7; -0.3; 512; 12; Да;бакалавриат;10;285.0;235900;0;0;0;0;c33f296b-649b-4a3f-9fbd-727bf3a7435d;191023, Санкт-Петербург, наб. канала Грибоедова, д. 30-32, литер А;False;True;https://unecon.ru/sites/default/files/kcp_bs_2022.pdf
 Санкт-Петербургский политехнический университет Петра Великого; 82.6; 0.2; 2958; 133; Да;бакалавриат;13;270.0;190000;магистратура;7;50.0;200000;e3d73e9c-9ffd-46e8-a231-64ba108cb256;195251, г.Санкт-Петербург, ул.Политехническая, 29;True;True;https://www.spbstu.ru/abit/bachelor/apply/perechen-napravleniy-podgotovki/
 Тверской государственный университет; 68.6; -3.5; 856; 0; Да;бакалавриат;12;;112710;0;0;0;0;b67da480-580c-4c77-b250-85a53beb6942;170100, г. Тверь, ул.Желябова, 33;False;True;https://priem.tversu.ru/
 Тюменский государственный университет; 77.9; -0.8; 1408; 18; Да;бакалавриат;7;269.0;139;0;0;0;0;768dfccd-97bb-4534-85e4-e048c214b9c4;625003, Тюменская область, г. Тюмень, ул. Семакова, д. 10;False;False;https://abiturient.utmn.ru/postuplenie/priemnaya-kampaniya-2022/kolichestvo-mest/
 Уральский федеральный университет имени Б.Н. Ельцина; 76.2; -1.4; 4422; 122; Да;бакалавриат;17;261.0;143200;магистратура;14;73.0;104400;f255a4e8-15cf-45d0-a121-19f6f61d0c5d;620002, Свердловская область, г. Екатеринбург, ул. Мира, д. 19;True;True;https://urfu.ru/fileadmin/user_upload/urfu.ru/documents/applicant/2021/postuplenie-vo/Plan_priema_bakalavriat_specialitet_2021.pdf
 Уфимский государственный нефтяной технический университет; 73.4; -2.8; 1766; 33; Да;бакалавриат;0;0.0;115000;магистратура;15;0.0;120000;3e989242-fe92-4e7d-b5f9-43a9298079f7;450064, Республика Башкортостан, г.Уфа, ул.Космонавтов, 1;False;True;http://pk.rusoil.net/page/plan-priema-na-programmy-bakalavriata-i-specialiteta
 Челябинский государственный университет; 71.9; -0.3; 819; 12; Нет;бакалавриат;0;260.0;102400;0;0;0;0;b265f70b-d35d-45f0-ab0a-eec7ad99dad4;454001, Челябинская область, город Челябинск, улица Братьев Кашириных, дом 129;False;True;https://www.csu.ru/roles/prospective-students/Priem/bachelor/PriemMest.aspx
 Южный федеральный университет; 76.7; 0.2; 3088; 34; Да;бакалавриат;40;263.0;112000;магистратура;6;50.0;115000;496e4998-457b-4fed-bc13-18b6158ac498;344006, г.Ростов-на-Дону, ул.Большая Садовая, д. 105/42;True;True;https://sfedu.ru/www/stat_pages22.show?p=ABT/N8206/P
