Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Алтайский государственный аграрный университет ; 56.3; -2.4; 523; 0; Нет;бакалавриат;45;128.0;28000;магистратура;15;40.0;26000;ae7e5df1-bfb6-4713-bcbe-165ff677d9f2;Российская Федерация, 656049, Алтайский край, г. Барнаул, пр-т Красноармейский, д. 98;False;True;http://www.asau.ru/ru/abitur/5223-napravleniya-podgotovki-i-kolichestvo-mest
 Алтайский государственный педагогический университет ; 66.7; -1.1; 712; 1; Да;бакалавриат;10;115.0;38280;0;0;0;0;d639cea9-c4ed-46fd-a177-5cefc5a4a666;659333, Алтайский край, г. Бийск, ул. Короленко, 53;False;True;http://www2.bigpi.biysk.ru/pk/viewpage.php?page_id=227
 Алтайский государственный университет ; 74.4; 1.7; 1420; 23; Да;бакалавриат;10;115.0;38280;магистратура;;;;d639cea9-c4ed-46fd-a177-5cefc5a4a666;659333, Алтайский край, г. Бийск, ул. Короленко, 53;False;True;http://www2.bigpi.biysk.ru/pk/viewpage.php?page_id=227
 Арктический государственный агротехнологический университет; 48.7; -11.8; 368; 0; Нет;бакалавриат;40;99.0;65000;магистратура;0;0.0;58000;b70de9cd-9411-4405-b98e-7df997cd0254;677007, Республика Саха (Якутия), г.Якутск, ш. Сергеляхское, 3 км., д.3;False;True;https://agatu.ru/postupayushim/pravila-priema-po-programmam-vo-2022/ 
 Астраханский государственный университет; 63.9; -2.2; 695; 1; Да;бакалавриат;10;122.0;42000;0;0;0;0;bd14262d-d476-4582-a62d-b42571f9425c;414056, г.Астрахань, ул.Татищева, 18;False;True;https://xn--80aai1dk.xn--p1ai/images/files/priemka/2022/kol_mest_pr_B_2022.pdf
 Байкальский государственный университет ; 71.4; -3.1; 342; 0; Да;бакалавриат;23;119.0;40000;магистратура;2;53.0;58000;c4919508-4bf8-4ee0-aeca-a137afe1666c;664003, г.Иркутск, ул.Ленина, д.11;True;True;http://bgu.ru/abitur/bach/plan.aspx
 Башкирский государственный аграрный университет ; 61.4; 0.5; 647; 0; Нет;бакалавриат;47;155.0;70000;магистратура;0;40.0;33500;157d9b07-2c24-4dd5-b90f-0beb9debd8ad;450001, Республика Башкортостан, г. Уфа, ул. 50-летия Октября, 34;False;True;https://bsau.ru/abitur/bachelor-and-specialist
 Башкирский государственный университет ; 67.6; -2.1; 1011; 4; Да;бакалавриат;47;155.0;70000;магистратура;0;40.0;33500;157d9b07-2c24-4dd5-b90f-0beb9debd8ad;450001, Республика Башкортостан, г. Уфа, ул. 50-летия Октября, 34;False;True;https://bsau.ru/abitur/bachelor-and-specialist
 Белгородский государственный национальный исследовательский университет; 66.8; -2.5; 1460; 2; Да;бакалавриат;19;136.0;32300;магистратура;;;;cf1fddeb-db35-49a5-918c-1c570f2c09c8;308015, Белгородская область, г. Белгород, ул. Победы, д. 85;False;False;http://abitur.bsu.edu.ru/abitur/priem/places/
 Брянский государственный аграрный университет; 48.8; 0; 391; 0; Нет;бакалавриат;0;0.0;25000;0;0;0;0;4ca63855-a37e-40bc-bb2b-43020daa945c;243365, Брянская область, Выгоничский район, село Кокино, улица Советская, дом 2а;False;True;https://www.bgsha.com/download/priemkom/2019/vo/kol_mest_OB_2019.pdf
