Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Алтайский государственный аграрный университет ; 56.3; -2.4; 523; 0; Нет;бакалавриат;18;184.0;22000;магистратура;7;40.0;24000;ae7e5df1-bfb6-4713-bcbe-165ff677d9f2;Российская Федерация, 656049, Алтайский край, г. Барнаул, пр-т Красноармейский, д. 98;False;True;http://www.asau.ru/ru/abitur/5223-napravleniya-podgotovki-i-kolichestvo-mest
 Алтайский государственный университет ; 74.4; 1.7; 1420; 23; Да;бакалавриат;18;184.0;22000;магистратура;7;40.0;24000;ae7e5df1-bfb6-4713-bcbe-165ff677d9f2;Российская Федерация, 656049, Алтайский край, г. Барнаул, пр-т Красноармейский, д. 98;False;True;http://www.asau.ru/ru/abitur/5223-napravleniya-podgotovki-i-kolichestvo-mest
 Арктический государственный агротехнологический университет; 48.7; -11.8; 368; 0; Нет;бакалавриат;28;99.0;115000;магистратура;16;40.0;58000;b70de9cd-9411-4405-b98e-7df997cd0254;677007, Республика Саха (Якутия), г.Якутск, ш. Сергеляхское, 3 км., д.3;False;True;https://agatu.ru/postupayushim/pravila-priema-po-programmam-vo-2022/ 
 Башкирский государственный аграрный университет ; 61.4; 0.5; 647; 0; Нет;бакалавриат;25;102.0;26900;магистратура;5;55.0;29300;157d9b07-2c24-4dd5-b90f-0beb9debd8ad;450001, Республика Башкортостан, г. Уфа, ул. 50-летия Октября, 34;False;True;https://bsau.ru/abitur/bachelor-and-specialist
 Башкирский государственный университет ; 67.6; -2.1; 1011; 4; Да;бакалавриат;25;102.0;26900;магистратура;5;55.0;29300;157d9b07-2c24-4dd5-b90f-0beb9debd8ad;450001, Республика Башкортостан, г. Уфа, ул. 50-летия Октября, 34;False;True;https://bsau.ru/abitur/bachelor-and-specialist
 Брянский государственный аграрный университет; 48.8; 0; 391; 0; Нет;бакалавриат;15;99.0;25000;магистратура;7;40.0;30000;4ca63855-a37e-40bc-bb2b-43020daa945c;243365, Брянская область, Выгоничский район, село Кокино, улица Советская, дом 2а;False;True;https://www.bgsha.com/download/priemkom/2019/vo/kol_mest_OB_2019.pdf
 Воронежский государственный университет; 74.2; -0.2; 1734; 4; Нет;бакалавриат;47;170.0;29000;магистратура;23;10.0;48000;00fe2808-dde2-45b9-811b-f17427e75fd8;394087, Воронежская область, г. Воронеж, ул. Мичурина, 1;False;True;http://abit.vsau.ru/wp-content/uploads/2021/10/%D0%B1_%D0%9A%D0%BE%D0%BB%D0%B8%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%BE-%D0%BC%D0%B5%D1%81%D1%82-%D0%B4%D0%BB%D1%8F-%D0%BF%D1%80%D0%B8%D0%B5%D0%BC%D0%B0-%D0%BD%D0%B0-%D0%BE%D0%B1%D1%83%D1%87%D0%B5%D0%BD%D0%B8%D0%B5_2021.pdf
 Вятский государственный университет ; 68.2; 0.1; 1827; 2; Да;бакалавриат;18;99.0;30000;магистратура;4;40.0;132980;47f0d16e-a93e-4780-88d2-7c34ba15a4ff;610017, г.Киров, ул.Октябрьский проспект, д.133;True;True;https://vgsha.info/abitur/bachelor/#abitur_plan_priema
 Горский государственный аграрный университет ; 58.2; -1.9; 302; 0; Нет;бакалавриат;9;;25000;магистратура;3;;26000;0929e6c4-93c9-477a-97ee-6a674d877077;362040, Республика Северная Осетия-Алания, г.Владикавказ, Кирова, д.37;False;True;https://gorskigau.ru/Portals/0/%D0%9F%D0%A0%D0%98%D0%95%D0%9C%D0%9D%D0%90%D0%AF/2021/mpg2021-2935-2935-b5a10198a6414ca51573d088302ab5c6.pdf?ver=2020-11-10-140252-680
 Государственный аграрный университет Северного Зауралья ; 56.8; -3.1; 502; 0; Нет;бакалавриат;15;100.0;31220;магистратура;13;45.0;134701;cf33956b-925a-4c2e-916d-274b05a495c9;Российская Федерация, 625003, Тюменская область, г. Тюмень, Республики, д. 7;False;True;http://www.tsaa.ru/priemnaya-komissiya/priyomnaya-kampaniya-2022/dokumentyi-i-polozheniya/9.-kolichestvo-mest-dlya-priema-na-obuchenie-po-razlichnyim-usloviyam-postupleniya-v-ramkax-kontrolnyix-czifr-bez-ukazaniya-czelevoj-kvotyi-i-osoboj-kvotyi
 Дагестанский государственный аграрный университет ; 67.0; -6.4; 324; 0; Нет;бакалавриат;;;;магистратура;;;;19bddf52-9cb6-48b9-b07c-b6c704075dab;367032, Республика Дагестан, г.Махачкала, ул.Магомета Гаджиева, 180;False;True;https://xn--80aaiac8g.xn--p1ai/abitur
 Дагестанский государственный университет ; 63.0; -0.4; 1025; 19; Нет;бакалавриат;;;;магистратура;;;;19bddf52-9cb6-48b9-b07c-b6c704075dab;367032, Республика Дагестан, г.Махачкала, ул.Магомета Гаджиева, 180;False;True;https://xn--80aaiac8g.xn--p1ai/abitur
 Дальневосточный государственный аграрный университет ; 49.2; -1; 411; 0; Нет;бакалавриат;0;0.0;50000;магистратура;10;44.0;200690;4a286e1d-6de1-4230-a16d-6e6508dd702c;675005, Амурская область, г. Благовещенск, ул. Политехничсекая, 86;False;True;https://www.dalgau.ru/upload/iblock/23b/10-Kolichestvo-mest-dlya-priema-na-obuchenie-po-razlichnym-usloviyam-postupleniya.pdf
 Донской государственный технический университет ; 62.2; 0.8; 2865; 0; Да;бакалавриат;0;0.0;125900;0;0;0;0;1b74b22d-82f8-4d72-8c34-9c031d174bc5;344003, г.Ростов-на-Дону, пл.Гагарина, 1;True;True;https://donstu.ru/priemnaya-kampaniya/
 Ингушский государственный университет ; 62.3; -3.1; 709; 0; Да;бакалавриат;17;60.4;;магистратура;;;;af5a9db6-d42a-4243-9763-2c3c203aac5e;386001, Республика Ингушетия, г. Магас, проспект И. Зязикова, д. 7;False;True;http://inggu.ru/abitur/aspirant/Колич.мест%20для%20приема%20-%2029.03.22(26.04.)%20бакалавриат.pdf
 Кабардино-Балкарский государственный аграрный университет имени В.М. Кокова; 45.4; -0.6; 360; 0; Нет;бакалавриат;0;;43400;магистратура;;;46000;4e8a2986-c74f-415d-957a-2484b453029c;360030, Кабардино-Балкарская Республика, г.Нальчик, пр. Ленина, 1 в;False;True;https://www.kbgau.ru/abiturient/priem2021/%D0%9A%D0%BE%D0%BB%D0%B8%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%BE%20%D0%BC%D0%B5%D1%81%D1%82%20%D0%BF%D0%BE%20%D0%B4%D0%BE%D0%B3%D0%BE%D0%B2%D0%BE%D1%80%D0%B0%D0%BC.pdf
 Калмыцкий государственный университет ; 61.1; 1.9; 729; 0; Нет;бакалавриат;19;118.0;0;магистратура;11;80.0;0;3e35d441-fa6f-44ea-9afa-b2b6c3e50251;358000, Республика Калмыкия, г.Элиста, ул.А.С. Пушкина, д.11;False;True;https://www.kalmgu.ru/docs/priemn/bakspec/2021/10.pdf
 Кубанский государственный аграрный университет имени И.Т. Трубилина ; 67.9; 1.4; 1001; 0; Нет;бакалавриат;11;120.0;30000;магистратура;0;51.0;149400;55f0feed-c484-42c0-89b4-1299091335f7;350044, Краснодарский край, г. Краснодар, ул. Калинина, д. 13;True;True;https://kubsau.ru/upload/iblock/591/591181670a0dbc9ba253f62ae560131f.pdf
 Кубанский государственный университет ; 76.6; 0.2; 1766; 7; Да;бакалавриат;11;120.0;30000;магистратура;0;51.0;149400;55f0feed-c484-42c0-89b4-1299091335f7;350044, Краснодарский край, г. Краснодар, ул. Калинина, д. 13;True;True;https://kubsau.ru/upload/iblock/591/591181670a0dbc9ba253f62ae560131f.pdf
 Майкопский государственный технологический университет; 60.4; 2.2; 344; 0; Нет;бакалавриат;12;119.0;36000;0;0;0;0;9fd0441b-5d2d-462f-9ae4-3c20efe3c37a;385000, Республика Адыгея, г.Майкоп, ул.Первомайская, д.191;False;True;http://www.mkgtu.ru/upload/files/kcp_na_20222023_uchgod%281%29.pdf
