Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Арктический государственный агротехнологический университет; 48.7; -11.8; 368; 0; Нет;бакалавриат;0;0.0;58000;0;0;0;0;b70de9cd-9411-4405-b98e-7df997cd0254;677007, Республика Саха (Якутия), г.Якутск, ш. Сергеляхское, 3 км., д.3;False;True;https://agatu.ru/postupayushim/pravila-priema-po-programmam-vo-2022/ 
 Астраханский государственный университет; 63.9; -2.2; 695; 1; Да;бакалавриат;50;191.0;125353;магистратура;15;79.0;132956;4ae7d82f-0812-449e-9384-407d39da5836;414056, Россия, г. Астрахань, ул. Татищева, 20а;True;False;https://asu.edu.ru/images/File/priem/2022/OBShchEE-KOL-VO-MEST.pdf
 Башкирский государственный университет ; 67.6; -2.1; 1011; 4; Да;бакалавриат;25;201.0;120000;0;0;0;0;7d5e6f1d-0591-46ff-8dc5-f8f45444a8c9;450008, Республика Башкортостан, г.Уфа, ул.Октябрьской революции, 3-а;False;True;https://abitur.bspu.ru/pdf-documents/pdfdocument/05/file_04-2022_150105.pdf
 Белгородский государственный национальный исследовательский университет; 66.8; -2.5; 1460; 2; Да;бакалавриат;48;143.0;77900;магистратура;;;;cf1fddeb-db35-49a5-918c-1c570f2c09c8;308015, Белгородская область, г. Белгород, ул. Победы, д. 85;False;False;http://abitur.bsu.edu.ru/abitur/priem/places/
 Благовещенский государственный педагогический университет; 62.7; -0.9; 427; 0; Нет;бакалавриат;;;;0;0;0;0;d46277ba-4c87-4520-b57f-c5ba739e3171;675000, Амурская область, г. Благовещенск, ул. Ленина, 104;False;True;https://bgpu.ru/abitur/bachelor/#abitur_plan_priema
 Братский государственный университет; 53.2; -5.2; 355; 0; Да;бакалавриат;0;0.0;49660;магистратура;0;0.0;171550;caf6020a-f238-47de-95a8-ccd992a50180;665709, Иркутская область, г.Братск, ул.Макаренко, д.40;False;True;https://brstu.ru/abitur/bachelor
 Бурятский государственный университет ; 63.0; -0.9; 792; 0; Да;бакалавриат;30;126.0;107100;0;0;0;0;960a9f73-1bdf-4840-89a5-a1aaf5663bc9;"670000, Республика Бурятия, г.Улан-Удэ, ул.Смолина, 24 ""а""";False;True;https://www.bsu.ru/abit/camp2022/bak2022/plan_bak-2022_ocno/
 Владимирский государственный университет; 64.0; -1.9; 1420; 0; Да;бакалавриат;;;36200;магистратура;10;49.0;135490;73d9f15a-7469-4a82-8a6f-2d21b03fd7d7;600000, г.Владимир, ул.Горького, 87;False;True;https://prkom.vlsu.ru/plan.html
 Волгоградский государственный технический университет; 64.2; 0.3; 1198; 0; Да;бакалавриат;;;;0;0;0;0;47876a8f-55b1-4cf0-b247-867a9a3add86;400005, г. Волгоград, проспект им. Ленина, д.28;False;True;https://welcome.vstu.ru/acceptance/Abitur/#kolmest
 Волгоградский государственный университет; 69.0; -0.9; 969; 1; Да;бакалавриат;;;;0;0;0;0;47876a8f-55b1-4cf0-b247-867a9a3add86;400005, г. Волгоград, проспект им. Ленина, д.28;False;True;https://welcome.vstu.ru/acceptance/Abitur/#kolmest
