Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Владимирский государственный университет; 64.0; -1.9; 1420; 0; Да;бакалавриат;20;128.0;126000;магистратура;6;30.0;135490;73d9f15a-7469-4a82-8a6f-2d21b03fd7d7;600000, г.Владимир, ул.Горького, 87;False;True;https://prkom.vlsu.ru/plan.html
 Воронежский государственный технический университет; 66.2; 2; 1942; 6; Нет;бакалавриат;20;123.0;37520;магистратура;5;35.0;42380;cefffdd8-1e73-49e7-b507-eafa1da4f8f9;394006, г. Воронеж, ул. 20-летия Октября, 84;True;True;https://cchgeu.ru/upload/abiturientu/info/2020/Plan-priema-2021.pdf
 Воронежский государственный университет; 74.2; -0.2; 1734; 4; Нет;бакалавриат;20;123.0;37520;магистратура;5;35.0;42380;cefffdd8-1e73-49e7-b507-eafa1da4f8f9;394006, г. Воронеж, ул. 20-летия Октября, 84;True;True;https://cchgeu.ru/upload/abiturientu/info/2020/Plan-priema-2021.pdf
 Ижевский государственный технический университет имени М.Т. Калашникова; 65.8; -1.3; 981; 4; Да;бакалавриат;0;0.0;38500;магистратура;8;50.0;124000;b04905e5-ddcb-49bc-afac-750a9658514c;426069, Удмуртская Республика, г. Ижевск, ул. Студенческая, д. 7;False;False;https://istu.ru/storage/priem/priem-2021/%D0%9A%D0%A6%D0%9F%20%D0%BE%D0%B1%D1%83%D1%87%D0%B0%D1%8E%D1%89%D0%B8%D1%85%D1%81%D1%8F%20%D0%BD%D0%B0%201%20%D0%BA%D1%83%D1%80%D1%81%20%D0%B2%202021-2022%20%D1%83%D1%87%D0%B5%D0%B1%D0%BD%D0%BE%D0%BC%20%D0%B3%D0%BE%D0%B4%D1%83.pdf
 Кемеровский государственный университет; 65.8; -0.1; 1334; 3; Нет;бакалавриат;;;;0;0;0;0;d6de7b26-79ae-45e5-b657-517f90cc3adb;650000, Кемеровская область - Кузбасс, г. Кемерово, ул.Красная, д.6;False;True;https://kemsu.ru/upload/abiturient/kcp_2021_3.pdf
 МИРЭА - Российский технологический университет; 81.5; 1.6; 3031; 54; Да;бакалавриат;75;220.0;177600;магистратура;20;80.0;204000;fa7b2da0-a4f0-466b-a6cc-363b8a4f9b10;119454, г. Москва, просп. Вернадского, д. 78;True;True;https://priem.mirea.ru/first-degree/list/head
 Московский авиационный институт (национальный исследовательский университет); 78.5; 1; 2790; 22; Да;бакалавриат;76;225.0;;магистратура;51;;232000;f43a93df-e3d5-401e-93a4-671357cffc11;125993, г.Москва, Волоколамское шоссе, д.4;True;True;https://mai.ru/science/postgraduate/kcp/
 Московский государственный технический университет имени Н.Э. Баумана; 82.7; 0.8; 3551; 201; Да;бакалавриат;18;214.0;302533;магистратура;29;89.0;324577;4477ba99-638d-4c7d-91eb-288dfbcee2ae;105005, г.Москва, 2-я Бауманская ул., д.5;True;True;https://api.www.bmstu.ru/file/89037/download
 Омский государственный технический университет; 64.4; 0.9; 1891; 1; Нет;бакалавриат;23;127.0;0;магистратура;13;54.0;69300;f690fe88-dbfe-4589-a0e5-ed63672bd15f;644050, г.Омск, пр. Мира, 11;True;True;https://www.omgtu.ru/entrant/regulatory-documents-for-entering-in-2019-bachelor-specialist-master/%D0%9F%D1%80%D1%82-11-30.10.2020-%D0%9A%D0%BE%D0%BB%D0%9C%D0%B5%D1%81%D1%82.pdf
 Орловский государственный университет имени И.С. Тургенева; 68.2; -0.9; 1581; 2; Нет;бакалавриат;20;132.0;120960;магистратура;14;74.0;127750;16de6da3-7e1f-45d8-a41e-ae074e9cb94c;302026, г.Орел, ул.Комсомольская, д.95;False;True;http://oreluniver.ru/file/documents/count_mest_bak_2022.pdf
