Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Алтайский государственный аграрный университет ; 56.3; -2.4; 523; 0; Нет;бакалавриат;18;180.0;26000;магистратура;6;40.0;26000;ae7e5df1-bfb6-4713-bcbe-165ff677d9f2;Российская Федерация, 656049, Алтайский край, г. Барнаул, пр-т Красноармейский, д. 98;False;True;http://www.asau.ru/ru/abitur/5223-napravleniya-podgotovki-i-kolichestvo-mest
 Алтайский государственный университет ; 74.4; 1.7; 1420; 23; Да;бакалавриат;20;119.0;142835;магистратура;6;40.0;26000;ca7848f5-a655-4dd5-be23-7923e80eed77;649000, Республика Алтай, г.Горно-Алтайск, ул.Ленкина, 1;False;False;http://abit.gasu.ru/index.php?option=com_content&view=article&id=203&Itemid=523
 Арктический государственный агротехнологический университет; 48.7; -11.8; 368; 0; Нет;бакалавриат;16;99.0;115000;магистратура;8;;;b70de9cd-9411-4405-b98e-7df997cd0254;677007, Республика Саха (Якутия), г.Якутск, ш. Сергеляхское, 3 км., д.3;False;True;https://agatu.ru/postupayushim/pravila-priema-po-programmam-vo-2022/ 
 Байкальский государственный университет ; 71.4; -3.1; 342; 0; Да;бакалавриат;38;156.0;98000;магистратура;30;47.0;58000;c4919508-4bf8-4ee0-aeca-a137afe1666c;664003, г.Иркутск, ул.Ленина, д.11;True;True;http://bgu.ru/abitur/bach/plan.aspx
 Башкирский государственный аграрный университет ; 61.4; 0.5; 647; 0; Нет;бакалавриат;25;122.0;26900;магистратура;5;63.0;31300;157d9b07-2c24-4dd5-b90f-0beb9debd8ad;450001, Республика Башкортостан, г. Уфа, ул. 50-летия Октября, 34;False;True;https://bsau.ru/abitur/bachelor-and-specialist
 Башкирский государственный университет ; 67.6; -2.1; 1011; 4; Да;бакалавриат;25;122.0;26900;магистратура;5;63.0;31300;157d9b07-2c24-4dd5-b90f-0beb9debd8ad;450001, Республика Башкортостан, г. Уфа, ул. 50-летия Октября, 34;False;True;https://bsau.ru/abitur/bachelor-and-specialist
 Братский государственный университет; 53.2; -5.2; 355; 0; Да;бакалавриат;0;0.0;38740;магистратура;11;75.0;171550;caf6020a-f238-47de-95a8-ccd992a50180;665709, Иркутская область, г.Братск, ул.Макаренко, д.40;False;True;https://brstu.ru/abitur/bachelor
 Вятский государственный университет ; 68.2; 0.1; 1827; 2; Да;бакалавриат;25;140.0;115177;0;0;0;0;ddab0f07-50d1-40a6-850b-e53d590d9671;610000, Кировская область, г. Киров, ул. Московская, д. 36;False;False;https://new.vyatsu.ru/upload/iblock/31d/fyp76ft0gi6yydool30dv90he6oc54rn.pdf
 Горно-Алтайский государственный университет; 60.2; 1; 337; 0; Нет;бакалавриат;20;119.0;142835;0;0;0;0;ca7848f5-a655-4dd5-be23-7923e80eed77;649000, Республика Алтай, г.Горно-Алтайск, ул.Ленкина, 1;False;False;http://abit.gasu.ru/index.php?option=com_content&view=article&id=203&Itemid=523
 Государственный аграрный университет Северного Зауралья ; 56.8; -3.1; 502; 0; Нет;бакалавриат;15;0.0;35000;0;0;0;0;cf33956b-925a-4c2e-916d-274b05a495c9;Российская Федерация, 625003, Тюменская область, г. Тюмень, Республики, д. 7;False;True;http://www.tsaa.ru/priemnaya-komissiya/priyomnaya-kampaniya-2022/dokumentyi-i-polozheniya/9.-kolichestvo-mest-dlya-priema-na-obuchenie-po-razlichnyim-usloviyam-postupleniya-v-ramkax-kontrolnyix-czifr-bez-ukazaniya-czelevoj-kvotyi-i-osoboj-kvotyi
