Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Адыгейский государственный университет ; 63.0; 0; 620; 0; Нет;бакалавриат;5;170.0;37500;магистратура;0;94.0;108000;2e93a6c1-cb86-4fd4-9ad0-ef513da1e022;385000, Республика Адыгея, г.Майкоп, ул.Первомайская, 208;False;True;https://adygnet.ru/upload/docs/applicants/pk-2021/pk_2021_10.pdf
 Алтайский государственный педагогический университет ; 66.7; -1.1; 712; 1; Да;бакалавриат;9;;97600;0;0;0;0;dc09af5b-329c-4f4a-a978-aec399420168;656031, г.Барнаул, ул.Молодежная,55;False;True;https://pricom.altspu.ru/upload/sprint.editor/30b/KTSP-_bakalavriat_-byudzhet.pdf
 Алтайский государственный университет ; 74.4; 1.7; 1420; 23; Да;бакалавриат;9;;97600;0;0;0;0;dc09af5b-329c-4f4a-a978-aec399420168;656031, г.Барнаул, ул.Молодежная,55;False;True;https://pricom.altspu.ru/upload/sprint.editor/30b/KTSP-_bakalavriat_-byudzhet.pdf
 Астраханский государственный университет; 63.9; -2.2; 695; 1; Да;бакалавриат;0;0.0;107613;магистратура;0;71.0;114883;4ae7d82f-0812-449e-9384-407d39da5836;414056, Россия, г. Астрахань, ул. Татищева, 20а;True;False;https://asu.edu.ru/images/File/priem/2022/OBShchEE-KOL-VO-MEST.pdf
 Байкальский государственный университет ; 71.4; -3.1; 342; 0; Да;бакалавриат;9;125.0;40000;магистратура;16;51.0;111000;c4919508-4bf8-4ee0-aeca-a137afe1666c;664003, г.Иркутск, ул.Ленина, д.11;True;True;http://bgu.ru/abitur/bach/plan.aspx
 Башкирский государственный университет ; 67.6; -2.1; 1011; 4; Да;бакалавриат;26;265.0;114000;магистратура;11;65.0;40800;7d5e6f1d-0591-46ff-8dc5-f8f45444a8c9;450008, Республика Башкортостан, г.Уфа, ул.Октябрьской революции, 3-а;False;True;https://abitur.bspu.ru/pdf-documents/pdfdocument/05/file_04-2022_150105.pdf
 Белгородский государственный национальный исследовательский университет; 66.8; -2.5; 1460; 2; Да;бакалавриат;7;247.0;81400;0;0;0;0;cf1fddeb-db35-49a5-918c-1c570f2c09c8;308015, Белгородская область, г. Белгород, ул. Победы, д. 85;False;False;http://abitur.bsu.edu.ru/abitur/priem/places/
 Брянский государственный университет имени И.Г. Петровского; 71.2; 0.8; 349; 0; Нет;бакалавриат;;;;магистратура;;;;0c5b7ed2-24fb-4a2e-a1f6-8675f55361e7;241036, г. Брянск, ул. Бежицкая,  14;False;True;https://brgu.ru/Abitur/bank/2021/doc/bachelor/2.pdf
 Бурятский государственный университет ; 63.0; -0.9; 792; 0; Да;бакалавриат;10;69.0;93800;магистратура;;;;960a9f73-1bdf-4840-89a5-a1aaf5663bc9;"670000, Республика Бурятия, г.Улан-Удэ, ул.Смолина, 24 ""а""";False;True;https://www.bsu.ru/abit/camp2022/bak2022/plan_bak-2022_ocno/
 Владимирский государственный университет; 64.0; -1.9; 1420; 0; Да;бакалавриат;15;105.0;110510;0;0;0;0;73d9f15a-7469-4a82-8a6f-2d21b03fd7d7;600000, г.Владимир, ул.Горького, 87;False;True;https://prkom.vlsu.ru/plan.html
 Волгоградский государственный социально-педагогический университет; 67.8; -1.3; 889; 0; Да;бакалавриат;41;243.0;109632;0;0;0;0;deb64a3a-e9d6-458a-b2d2-ce3b30ba57f7;400005, г. Волгоград, проспект им. В.И. Ленина, 27;False;True;https://vspu.ru/abitur/2021
 Волгоградский государственный университет; 69.0; -0.9; 969; 1; Да;бакалавриат;41;243.0;109632;магистратура;0;0.0;115000;deb64a3a-e9d6-458a-b2d2-ce3b30ba57f7;400005, г. Волгоград, проспект им. В.И. Ленина, 27;False;True;https://vspu.ru/abitur/2021
 Воронежский государственный университет; 74.2; -0.2; 1734; 4; Нет;бакалавриат;40;273.0;107500;магистратура;7;82.0;115500;0601c9a2-10c1-4830-9947-a322cd4f79a5;394018, г.Воронеж, Университетская пл., д.1;True;True;http://www.abitur.vsu.ru/sites/default/files/admission2022/10_kcp.pdf
 Вятский государственный университет ; 68.2; 0.1; 1827; 2; Да;бакалавриат;0;0.0;;магистратура;8;70.0;104871;ddab0f07-50d1-40a6-850b-e53d590d9671;610000, Кировская область, г. Киров, ул. Московская, д. 36;False;False;https://new.vyatsu.ru/upload/iblock/31d/fyp76ft0gi6yydool30dv90he6oc54rn.pdf
 Государственный гуманитарно-технологический университет ; 66.0; -1.9; 370; 0; Нет;бакалавриат;0;0.0;178000;0;0;0;0;ab414709-733e-4034-aa7b-bee13b9c335e;142611, Московская область, Орехово-Зуевский городской округ, г.Орехово-Зуево, ул.Зеленая, д.22;False;True;https://ggtu.ru/doc_word/abitura/2021/vo/2.1.pdf
 Государственный социально-гуманитарный университет ; 69.7; 0.1; 365; 0; Нет;бакалавриат;;;118480;магистратура;;;;f7f9928b-8502-464d-8f14-6564ced175ce;140411,Московская область, г.Коломна ул.Зеленая д.30;False;True;http://gukolomna.ru/abitur/bachelor/priemKolMest
 Дагестанский государственный университет ; 63.0; -0.4; 1025; 19; Нет;бакалавриат;41;226.0;86304;0;0;0;0;ae7078a1-9027-4024-af9a-7275afdd1596;367000, Республика Дагестан, г.Махачкала, ул. Батырая, 2, Дворец спорта ДГУ;False;True;http://dgu.ru/Abitur/?id=15247
 Дагестанский государственный университет народного хозяйства ; 70.2; -7.1; 595; 0; Да;бакалавриат;45;100.0;103980;0;0;0;0;4c56b65a-5f04-4b4d-a0eb-f1d6268cf21d;367008, Россия, Республика Дагестан, г.Махачкала, ул.Джамалутдина Атаева, дом 5;False;True;http://www.dgunh.ru/content/abiturient/priem2021/pr2021-f35.pdf
 Дальневосточный федеральный университет; 73.0; -0.3; 2649; 25; Нет;бакалавриат;35;236.0;210000;0;0;0;0;b1d399f2-cba7-428e-83a0-8f648c08f7aa;690950, Приморский край, г. Владивосток, ул. Суханова, д. 8;True;True;https://www.dvfu.ru/upload/medialibrary/4e4/cmsvctuegg5miib715u5ecte4x9mhmo0/%D0%9A%D0%BE%D0%BB%D0%B8%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%BE%20%D0%B1%D1%8E%D0%B4%D0%B6%D0%B5%D1%82%D0%BD%D1%8B%D1%85%20%D0%BC%D0%B5%D1%81%D1%82%20%D0%B4%D0%BB%D1%8F%20%D0%BF%D1%80%D0%B8%D0%B5%D0%BC%D0%B0%202022-23%20%D0%BF%D0%BE%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B0%D0%BC%20%D0%B1%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80%D0%B8%D0%B0%D1%82%D0%B0%20%D0%B8%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B0%D0%BC%20%D1%81%D0%BF%D0%B5%D1%86%D0%B8%D0%B0%D0%BB%D0%B8%D1%82%D0%B5%D1%82%D0%B0.pdf
 Донской государственный технический университет ; 62.2; 0.8; 2865; 0; Да;бакалавриат;16;265.0;108800;магистратура;;;;1b74b22d-82f8-4d72-8c34-9c031d174bc5;344003, г.Ростов-на-Дону, пл.Гагарина, 1;True;True;https://donstu.ru/priemnaya-kampaniya/
 Забайкальский государственный университет; 58.4; -1.8; 818; 0; Нет;бакалавриат;25;105.0;126500;магистратура;0;0.0;41000;013c6781-1230-49aa-a965-6fb1326f849f;672039, Забайкальский край, город Чита, улица Александро-Заводская, дом 30;True;True;http://entrant.zabgu.ru/?page_id=9
 Ижевский государственный технический университет имени М.Т. Калашникова; 65.8; -1.3; 981; 4; Да;бакалавриат;8;263.0;96000;0;0;0;0;b04905e5-ddcb-49bc-afac-750a9658514c;426069, Удмуртская Республика, г. Ижевск, ул. Студенческая, д. 7;False;False;https://istu.ru/storage/priem/priem-2021/%D0%9A%D0%A6%D0%9F%20%D0%BE%D0%B1%D1%83%D1%87%D0%B0%D1%8E%D1%89%D0%B8%D1%85%D1%81%D1%8F%20%D0%BD%D0%B0%201%20%D0%BA%D1%83%D1%80%D1%81%20%D0%B2%202021-2022%20%D1%83%D1%87%D0%B5%D0%B1%D0%BD%D0%BE%D0%BC%20%D0%B3%D0%BE%D0%B4%D1%83.pdf
 Казанский (Приволжский) федеральный университет; 80.0; -0.5; 2893; 10; Да;бакалавриат;13;0.0;66000;магистратура;20;92.0;0;cf12a1e1-a102-467f-a2df-f2a96ef1e8ad;420008, Республика Татарстан, г. Казань, ул. Кремлевская, д.18;False;True;https://admissions.kpfu.ru/priem-v-universitet/plan-priema-2021-kolichestvo-mest-vstupitelnye-ispytaniya-i-minimalnye-bally
