Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Братский государственный университет; 53.2; -5.2; 355; 0; Да;бакалавриат;2;120.0;38740;магистратура;0;0.0;59390;caf6020a-f238-47de-95a8-ccd992a50180;665709, Иркутская область, г.Братск, ул.Макаренко, д.40;False;True;https://brstu.ru/abitur/bachelor
 Брянский государственный аграрный университет; 48.8; 0; 391; 0; Нет;бакалавриат;0;0.0;25000;0;0;0;0;4ca63855-a37e-40bc-bb2b-43020daa945c;243365, Брянская область, Выгоничский район, село Кокино, улица Советская, дом 2а;False;True;https://www.bgsha.com/download/priemkom/2019/vo/kol_mest_OB_2019.pdf
 Дальневосточный государственный университет путей сообщения ; 57.1; -1.7; 1091; 0; Да;бакалавриат;0;0.0;;магистратура;5;0.0;;dc05355d-4867-4257-b339-9d349f9b11a5;680021, г.Хабаровск, ул.Серышева, д.47;True;True;https://abiturient.dvgups.ru/2016-05-20-01-40-30/2016-05-31-22-54-15/2016-05-31-22-57-01
 Донской государственный технический университет ; 62.2; 0.8; 2865; 0; Да;бакалавриат;43;130.0;125900;магистратура;;;;1b74b22d-82f8-4d72-8c34-9c031d174bc5;344003, г.Ростов-на-Дону, пл.Гагарина, 1;True;True;https://donstu.ru/priemnaya-kampaniya/
 Казанский государственный архитектурно-строительный университет; 76.5; 1.4; 429; 0; Да;бакалавриат;;;134300;0;0;0;0;3701c2ba-e000-42df-bf9d-4fc3a8fb8fd0;420043, Россия, Республика Татарстан, г.Казань, ул Зеленая,  д.1;False;True;https://www.kgasu.ru/applicant/priem2021/files/2021_kolmest_dlja_priema_na_obuchenie.pdf
 Московский автомобильно-дорожный государственный технический университет (МАДИ); 65.7; -0.5; 794; 1; Да;бакалавриат;20;170.0;;магистратура;21;85.0;241500;b7b5e2a1-8473-4b30-a0ce-09e48c532bda;125319, г. Москва, Ленинградский проспект, 64;True;True;https://pk.madi.ru/59-plan-priema.html
 Омский государственный университет путей сообщения; 54.8; -2.4; 763; 0; Нет;бакалавриат;0;0.0;126500;магистратура;0;0.0;54300;40ee7bc7-b3d9-42cf-adb5-d649c18ee2d8;644046, г.Омск, пр.Маркса, д.35;False;True;https://www.omgups.ru/abitur/plan-priema/
 Российский государственный геологоразведочный университет имени Серго Орджоникидзе ; 67.1; -0.8; 382; 0; Да;бакалавриат;0;0.0;215000;0;0;0;0;d8903dc5-299d-4925-a4ba-4de9416c560d;117997, г.Москва, ул. Миклухо-Маклая,  д. 23;False;True;https://mgri.ru/commission/gid-po-spetsialnostyam-mgri/
 Российский университет транспорта (МИИТ); 64.0; 0.2; 1757; 0; Да;бакалавриат;50;195.0;288000;магистратура;10;65.0;116000;d6e69957-30ea-4a5e-8cf1-99af5e85e42e;127994, г. Москва, ул. Образцова, д. 9, стр. 9;True;True;https://www.miit.ru/admissions/degrees?year=2021&city=1&level=4&training=20773
 Санкт-Петербургский политехнический университет Петра Великого; 82.6; 0.2; 2958; 133; Да;бакалавриат;40;211.0;210000;магистратура;11;50.0;220000;e3d73e9c-9ffd-46e8-a231-64ba108cb256;195251, г.Санкт-Петербург, ул.Политехническая, 29;True;True;https://www.spbstu.ru/abit/bachelor/apply/perechen-napravleniy-podgotovki/
 Саратовский государственный аграрный университет имени Н.И. Вавилова; 55.2; -2.9; 758; 0; Нет;бакалавриат;0;0.0;118450;магистратура;30;30.0;38840;b8bbeb55-c6b3-4603-a9fa-a3b962ea32a5;410012, г. Саратов, Театральная площадь, 1;False;True;http://sgau.ru/abitur/bachelor/#abitur_plan_priema
 Сибирский федеральный университет; 70.1; -1; 3337; 8; Да;бакалавриат;25;138.0;176934;магистратура;7;41.0;188584;ed090e19-9cf6-40f3-b40d-d4f69a2aabea;660041, Красноярский край, г. Красноярск, просп. Свободный, д. 79;True;True;https://admissions.sfu-kras.ru/exams
 Томский государственный архитектурно-строительный университет; 70.6; 0.5; 670; 0; Нет;бакалавриат;;;;0;0;0;0;7889689a-636f-4afd-b842-e3bfe3a1c125;634003, г.Томск, пл.Соляная, д.2;False;True;https://www.tsuab.ru/abitur/bachelor/#abitur_plan_priema
 Тюменский индустриальный университет; 66.1; -1; 2206; 2; Да;бакалавриат;;;;0;0;0;0;f2954ac7-d586-4f62-a46e-1281bb11f417;625000, Тюменская область, г. Тюмень, ул. Володарского, д. 38;False;False;https://www.tyuiu.ru/abitur/
 Ульяновский государственный университет; 66.3; -1; 853; 0; Нет;бакалавриат;0;0.0;33830;0;0;0;0;918d7167-278c-444d-853f-dfa0d42c7908;432017, г.Ульяновск, ул.Л.Толстого, 42;False;True;http://abiturient.ulsu.ru/tiles/general/
 Уральский федеральный университет имени Б.Н. Ельцина; 76.2; -1.4; 4422; 122; Да;бакалавриат;30;143.0;95000;0;0;0;0;f255a4e8-15cf-45d0-a121-19f6f61d0c5d;620002, Свердловская область, г. Екатеринбург, ул. Мира, д. 19;True;True;https://urfu.ru/fileadmin/user_upload/urfu.ru/documents/applicant/2021/postuplenie-vo/Plan_priema_bakalavriat_specialitet_2021.pdf
 Чувашский государственный университет имени И.Н. Ульянова ; 70.3; 0.9; 1296; 1; Да;бакалавриат;0;0.0;25500;0;0;0;0;8a6c9f76-166b-4805-8c42-fdf474e8aff6;428015, г.Чебоксары  Московский проспект,15;False;True;https://abiturient.chuvsu.ru/urovni/bakalavriat/byudzhetnye-mesta
