Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Адыгейский государственный университет ; 63.0; 0; 620; 0; Нет;бакалавриат;0;203.0;37500;магистратура;0;50.0;46700;2e93a6c1-cb86-4fd4-9ad0-ef513da1e022;385000, Республика Адыгея, г.Майкоп, ул.Первомайская, 208;False;True;https://adygnet.ru/upload/docs/applicants/pk-2021/pk_2021_10.pdf
 Алтайский государственный педагогический университет ; 66.7; -1.1; 712; 1; Да;бакалавриат;20;111.0;37200;магистратура;11;51.0;42060;d639cea9-c4ed-46fd-a177-5cefc5a4a666;659333, Алтайский край, г. Бийск, ул. Короленко, 53;False;True;http://www2.bigpi.biysk.ru/pk/viewpage.php?page_id=227
 Алтайский государственный университет ; 74.4; 1.7; 1420; 23; Да;бакалавриат;20;111.0;37200;магистратура;11;51.0;42060;d639cea9-c4ed-46fd-a177-5cefc5a4a666;659333, Алтайский край, г. Бийск, ул. Короленко, 53;False;True;http://www2.bigpi.biysk.ru/pk/viewpage.php?page_id=227
 Армавирский государственный педагогический университет; 64.5; -1.2; 500; 0; Нет;бакалавриат;;;;магистратура;73;40.0;33000;12796fa6-b109-4e28-8906-4aab8eb9f726;352901, город Армавир Краснодарского края, улица Розы Люксембург, 159;False;True;http://priem.agpu.net/abiturient/abiturient_2021/01.11.2020/kol-vo%20mest.aspx
 Астраханский государственный университет; 63.9; -2.2; 695; 1; Да;бакалавриат;45;229.0;114883;магистратура;9;0.0;;4ae7d82f-0812-449e-9384-407d39da5836;414056, Россия, г. Астрахань, ул. Татищева, 20а;True;False;https://asu.edu.ru/images/File/priem/2022/OBShchEE-KOL-VO-MEST.pdf
 Башкирский государственный университет ; 67.6; -2.1; 1011; 4; Да;бакалавриат;23;176.0;36720;магистратура;12;60.0;132000;7d5e6f1d-0591-46ff-8dc5-f8f45444a8c9;450008, Республика Башкортостан, г.Уфа, ул.Октябрьской революции, 3-а;False;True;https://abitur.bspu.ru/pdf-documents/pdfdocument/05/file_04-2022_150105.pdf
 Белгородский государственный национальный исследовательский университет; 66.8; -2.5; 1460; 2; Да;бакалавриат;14;156.0;32300;магистратура;;;;cf1fddeb-db35-49a5-918c-1c570f2c09c8;308015, Белгородская область, г. Белгород, ул. Победы, д. 85;False;False;http://abitur.bsu.edu.ru/abitur/priem/places/
 Благовещенский государственный педагогический университет; 62.7; -0.9; 427; 0; Нет;бакалавриат;;;;магистратура;;;;d46277ba-4c87-4520-b57f-c5ba739e3171;675000, Амурская область, г. Благовещенск, ул. Ленина, 104;False;True;https://bgpu.ru/abitur/bachelor/#abitur_plan_priema
 Братский государственный университет; 53.2; -5.2; 355; 0; Да;бакалавриат;25;173.0;141300;магистратура;0;0.0;57750;caf6020a-f238-47de-95a8-ccd992a50180;665709, Иркутская область, г.Братск, ул.Макаренко, д.40;False;True;https://brstu.ru/abitur/bachelor
 Брянский государственный университет имени И.Г. Петровского; 71.2; 0.8; 349; 0; Нет;бакалавриат;15;162.0;100200;магистратура;;;;0c5b7ed2-24fb-4a2e-a1f6-8675f55361e7;241036, г. Брянск, ул. Бежицкая,  14;False;True;https://brgu.ru/Abitur/bank/2021/doc/bachelor/2.pdf
 Бурятский государственный университет ; 63.0; -0.9; 792; 0; Да;бакалавриат;20;120.0;93800;магистратура;11;75.0;100800;960a9f73-1bdf-4840-89a5-a1aaf5663bc9;"670000, Республика Бурятия, г.Улан-Удэ, ул.Смолина, 24 ""а""";False;True;https://www.bsu.ru/abit/camp2022/bak2022/plan_bak-2022_ocno/
 Владимирский государственный университет; 64.0; -1.9; 1420; 0; Да;бакалавриат;20;141.0;110510;магистратура;10;30.0;118340;73d9f15a-7469-4a82-8a6f-2d21b03fd7d7;600000, г.Владимир, ул.Горького, 87;False;True;https://prkom.vlsu.ru/plan.html
 Волгоградский государственный социально-педагогический университет; 67.8; -1.3; 889; 0; Да;бакалавриат;28;167.0;109632;магистратура;;;;deb64a3a-e9d6-458a-b2d2-ce3b30ba57f7;400005, г. Волгоград, проспект им. В.И. Ленина, 27;False;True;https://vspu.ru/abitur/2021
 Волгоградский государственный университет; 69.0; -0.9; 969; 1; Да;бакалавриат;21;195.0;105000;магистратура;;;;630dd527-b5c6-45bd-81b1-48a876f68301;400062, Волгоградская область, г. Волгоград, просп. Университетский, д. 100;False;False;https://volsu.ru/Abitur/plany-priema.php
 Воронежский государственный педагогический университет; 71.3; -1.2; 573; 0; Нет;бакалавриат;0;0.0;45000;магистратура;8;72.0;40000;98f9d9ef-19cb-423d-842a-ec83158fb33e;394043, г.Воронеж, ул.Ленина, 86, Россия;False;True;http://pk.vspu.ac.ru/kontrolnye-cifry-priema-2015
