Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Адыгейский государственный университет ; 63.0; 0; 620; 0; Нет;бакалавриат;40;129.0;97000;магистратура;0;81.0;108000;2e93a6c1-cb86-4fd4-9ad0-ef513da1e022;385000, Республика Адыгея, г.Майкоп, ул.Первомайская, 208;False;True;https://adygnet.ru/upload/docs/applicants/pk-2021/pk_2021_10.pdf
 Алтайский государственный педагогический университет ; 66.7; -1.1; 712; 1; Да;бакалавриат;20;141.0;97600;0;0;0;0;dc09af5b-329c-4f4a-a978-aec399420168;656031, г.Барнаул, ул.Молодежная,55;False;True;https://pricom.altspu.ru/upload/sprint.editor/30b/KTSP-_bakalavriat_-byudzhet.pdf
 Алтайский государственный университет ; 74.4; 1.7; 1420; 23; Да;бакалавриат;20;141.0;97600;магистратура;;;;dc09af5b-329c-4f4a-a978-aec399420168;656031, г.Барнаул, ул.Молодежная,55;False;True;https://pricom.altspu.ru/upload/sprint.editor/30b/KTSP-_bakalavriat_-byudzhet.pdf
 Астраханский государственный университет; 63.9; -2.2; 695; 1; Да;бакалавриат;30;146.0;107613;магистратура;0;70.0;114883;4ae7d82f-0812-449e-9384-407d39da5836;414056, Россия, г. Астрахань, ул. Татищева, 20а;True;False;https://asu.edu.ru/images/File/priem/2022/OBShchEE-KOL-VO-MEST.pdf
 Башкирский государственный университет ; 67.6; -2.1; 1011; 4; Да;бакалавриат;35;200.0;110400;магистратура;35;40.0;117900;7fc31ed1-f781-43a2-8d92-c35a979512be;г. Уфа, ул. Заки Валиди, д. 32;False;True;https://pk.bashedu.ru/plan-priema
 Белгородский государственный национальный исследовательский университет; 66.8; -2.5; 1460; 2; Да;бакалавриат;32;193.0;73900;магистратура;;;;cf1fddeb-db35-49a5-918c-1c570f2c09c8;308015, Белгородская область, г. Белгород, ул. Победы, д. 85;False;False;http://abitur.bsu.edu.ru/abitur/priem/places/
 Братский государственный университет; 53.2; -5.2; 355; 0; Да;бакалавриат;25;162.0;141300;0;0;0;0;caf6020a-f238-47de-95a8-ccd992a50180;665709, Иркутская область, г.Братск, ул.Макаренко, д.40;False;True;https://brstu.ru/abitur/bachelor
 Брянский государственный университет имени И.Г. Петровского; 71.2; 0.8; 349; 0; Нет;бакалавриат;15;176.0;100200;магистратура;;;;0c5b7ed2-24fb-4a2e-a1f6-8675f55361e7;241036, г. Брянск, ул. Бежицкая,  14;False;True;https://brgu.ru/Abitur/bank/2021/doc/bachelor/2.pdf
 Бурятский государственный университет ; 63.0; -0.9; 792; 0; Да;бакалавриат;40;123.0;93800;магистратура;6;65.0;100800;960a9f73-1bdf-4840-89a5-a1aaf5663bc9;"670000, Республика Бурятия, г.Улан-Удэ, ул.Смолина, 24 ""а""";False;True;https://www.bsu.ru/abit/camp2022/bak2022/plan_bak-2022_ocno/
 Владимирский государственный университет; 64.0; -1.9; 1420; 0; Да;бакалавриат;21;153.0;110510;магистратура;9;30.0;118340;73d9f15a-7469-4a82-8a6f-2d21b03fd7d7;600000, г.Владимир, ул.Горького, 87;False;True;https://prkom.vlsu.ru/plan.html
