Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Алтайский государственный аграрный университет ; 56.3; -2.4; 523; 0; Нет;бакалавриат;0;0.0;22000;0;0;0;0;ae7e5df1-bfb6-4713-bcbe-165ff677d9f2;Российская Федерация, 656049, Алтайский край, г. Барнаул, пр-т Красноармейский, д. 98;False;True;http://www.asau.ru/ru/abitur/5223-napravleniya-podgotovki-i-kolichestvo-mest
 Алтайский государственный университет ; 74.4; 1.7; 1420; 23; Да;бакалавриат;25;118.0;119500;магистратура;5;58.0;126800;fada72f4-aab6-439a-9ee4-a0871d3669f0;РОССИЯ, 656038, Алтайский край, Барнаул г, Ленина пр-кт, дом 46;True;False;https://www.altstu.ru/media/f/KCP-2022-dlya-sajta.pdf
 Башкирский государственный аграрный университет ; 61.4; 0.5; 647; 0; Нет;бакалавриат;10;143.0;26900;магистратура;7;74.0;33500;157d9b07-2c24-4dd5-b90f-0beb9debd8ad;450001, Республика Башкортостан, г. Уфа, ул. 50-летия Октября, 34;False;True;https://bsau.ru/abitur/bachelor-and-specialist
 Башкирский государственный университет ; 67.6; -2.1; 1011; 4; Да;бакалавриат;10;143.0;26900;магистратура;7;74.0;33500;157d9b07-2c24-4dd5-b90f-0beb9debd8ad;450001, Республика Башкортостан, г. Уфа, ул. 50-летия Октября, 34;False;True;https://bsau.ru/abitur/bachelor-and-specialist
 Брянский государственный аграрный университет; 48.8; 0; 391; 0; Нет;бакалавриат;17;103.0;25000;0;0;0;0;4ca63855-a37e-40bc-bb2b-43020daa945c;243365, Брянская область, Выгоничский район, село Кокино, улица Советская, дом 2а;False;True;https://www.bgsha.com/download/priemkom/2019/vo/kol_mest_OB_2019.pdf
 Волгоградский государственный технический университет; 64.2; 0.3; 1198; 0; Да;бакалавриат;53;133.0;126250;магистратура;12;62.0;134170;47876a8f-55b1-4cf0-b247-867a9a3add86;400005, г. Волгоград, проспект им. Ленина, д.28;False;True;https://welcome.vstu.ru/acceptance/Abitur/#kolmest
 Волгоградский государственный университет; 69.0; -0.9; 969; 1; Да;бакалавриат;53;133.0;126250;магистратура;12;62.0;134170;47876a8f-55b1-4cf0-b247-867a9a3add86;400005, г. Волгоград, проспект им. Ленина, д.28;False;True;https://welcome.vstu.ru/acceptance/Abitur/#kolmest
 Воронежский государственный университет; 74.2; -0.2; 1734; 4; Нет;бакалавриат;15;183.0;39000;магистратура;7;46.0;43100;eba4da73-1a42-4dd8-8586-2e3d729f2c9e;394036, г.Воронеж, проспект Революции, 19;False;True;https://vsuet.ru/abitur
 Воронежский государственный университет инженерных технологий; 65.9; 1.8; 624; 0; Да;бакалавриат;15;183.0;39000;магистратура;7;46.0;43100;eba4da73-1a42-4dd8-8586-2e3d729f2c9e;394036, г.Воронеж, проспект Революции, 19;False;True;https://vsuet.ru/abitur
 Восточно-Сибирский государственный университет технологий и управления ; 52.2; -3.8; 588; 0; Да;бакалавриат;10;0.0;41000;магистратура;;;;4d3bda30-8650-40c7-93f2-3d7302eee693;670013, Республика Бурятия, г.Улан-Удэ, ул.Ключевская, д.40В, строение 1;True;True;https://www.esstu.ru/uportal/document/download.htm?documentId=23749
 Дальневосточный государственный аграрный университет ; 49.2; -1; 411; 0; Нет;бакалавриат;21;99.0;50000;0;0;0;0;4a286e1d-6de1-4230-a16d-6e6508dd702c;675005, Амурская область, г. Благовещенск, ул. Политехничсекая, 86;False;True;https://www.dalgau.ru/upload/iblock/23b/10-Kolichestvo-mest-dlya-priema-na-obuchenie-po-razlichnym-usloviyam-postupleniya.pdf
 Дальневосточный государственный технический рыбохозяйственный университет ; 50.9; -2.7; 399; 0; Нет;бакалавриат;22;99.0;58470;магистратура;6;156.0;70850;63c14fd8-00df-435a-847f-6a23f6c780ab; г. Владивосток, ул. Светланская, 27 (автобусная остановка «Площадь борцов за власть Советов», напротив здания Правительства Приморского края);True;True;https://dalrybvtuz.ru/Abitur/2022/bachelor/kolichestvo-mest-dlya/, https://dalrybvtuz.ru/Abitur/2022/special/kolichestvo-mest-dlya/, https://dalrybvtuz.ru/Abitur/2022/magistr/kolichestvo-mest-dlya/
 Донской государственный технический университет ; 62.2; 0.8; 2865; 0; Да;бакалавриат;35;120.0;31400;0;0;0;0;1b74b22d-82f8-4d72-8c34-9c031d174bc5;344003, г.Ростов-на-Дону, пл.Гагарина, 1;True;True;https://donstu.ru/priemnaya-kampaniya/
 Ивановский государственный университет; 67.5; -0.3; 383; 0; Да;бакалавриат;20;140.0;109720;0;0;0;0;8721cead-896a-4bbd-b64d-955b4f398272;153000, г. Иваново, Шереметевский просп., 7;False;True;https://www.isuct.ru/Abitur
 Ивановский государственный химико-технологический университет; 62.2; -1.1; 587; 0; Нет;бакалавриат;20;140.0;109720;0;0;0;0;8721cead-896a-4bbd-b64d-955b4f398272;153000, г. Иваново, Шереметевский просп., 7;False;True;https://www.isuct.ru/Abitur
 Казанский национальный исследовательский технологический университет; 67.0; -2; 1819; 0; Да;бакалавриат;10;151.0;46200;магистратура;55;0.0;165600;8fc8bb73-b6c9-4d53-b456-9fe66bc303b6;420015, Республика Татарстан, г.Казань, ул. К. Маркса, д.68;True;True;https://www.kstu.ru/article.jsp?id=2813&id_e=58594
 Калининградский государственный технический университет; 61.4; -4.6; 515; 0; Да;бакалавриат;10;0.0;41500;магистратура;0;0.0;43000;1d506657-ee65-4df6-8b36-cd7d41c568d9;236022, г.Калининград, Советский проспект, 1;False;True;https://klgtu.ru/abitur/bachelor/
 Кемеровский государственный университет; 65.8; -0.1; 1334; 3; Нет;бакалавриат;21;;22500;магистратура;;;27000;d6de7b26-79ae-45e5-b657-517f90cc3adb;650000, Кемеровская область - Кузбасс, г. Кемерово, ул.Красная, д.6;False;True;https://kemsu.ru/upload/abiturient/kcp_2021_3.pdf
 Крымский федеральный университет имени В.И. Вернадского; 64.7; -2.3; 2520; 2; Да;бакалавриат;22;121.0;53800;магистратура;8;30.0;119200;4a0ab349-a51f-415e-9cad-fb73d0ed1c66;295007, Республика Крым, г.Симферополь, проспект академика Вернадского, 4;True;True;https://priem.cfuv.ru/bachelor/direction https://priem.cfuv.ru/magistr/direction
 Марийский государственный университет ; 66.9; 1.2; 1277; 0; Нет;бакалавриат;10;121.0;70000;магистратура;10;68.0;140000;45e50d68-f320-4053-a31b-6ee1d1e2f48e;424000, Республика Марий Эл, г. Йошкар-Ола, площадь им. Ленина, д.1;False;True;https://marsu.ru/abitur/pravila/plan_priema/
 Московский государственный университет пищевых производств; 76.8; 1.6; 591; 0; Да;бакалавриат;50;190.0;85000;магистратура;8;69.0;95000;cb80192e-7c2c-4232-b91a-9f9763ad4f89;125080, г.Москва, Волоколамское шоссе, д.11;False;True;https://mgupp.ru/abitur/bachelor/
 Московский государственный университет технологий и управления имени К.Г. Разумовского (Первый казачий университет); 74.7; -6.2; 322; 0; Да;бакалавриат;14;248.0;78000;магистратура;5;65.0;91500;259ee278-13b6-4adb-bd30-2d6088d8d58e;109004, г.Москва, Земляной Вал, 73;False;True;https://mgutm.ru/wp-content/uploads/doc/entrant/entry-rules/2021/kolichestvo-mest-dlya-priema-na-obuchenie-v-golovnoj-vuz-po-programmam-vo-v-2022-godu_compressed.pdf
 Орловский государственный аграрный университет; 59.9;; 438; 0; Да;бакалавриат;10;119.0;28000;магистратура;5;55.0;30000;4e5b5601-0ced-4eee-bbb0-9c9c6a08ec90;302019, г.Орел, ул.Генерала Родина, 69;False;True;https://www.orelsau.ru/abitur/
 Орловский государственный университет имени И.С. Тургенева; 68.2; -0.9; 1581; 2; Нет;бакалавриат;16;159.0;120960;0;0;0;0;16de6da3-7e1f-45d8-a41e-ae074e9cb94c;302026, г.Орел, ул.Комсомольская, д.95;False;True;http://oreluniver.ru/file/documents/count_mest_bak_2022.pdf
 Саратовский государственный аграрный университет имени Н.И. Вавилова; 55.2; -2.9; 758; 0; Нет;бакалавриат;20;99.0;31730;магистратура;23;30.0;35730;b8bbeb55-c6b3-4603-a9fa-a3b962ea32a5;410012, г. Саратов, Театральная площадь, 1;False;True;http://sgau.ru/abitur/bachelor/#abitur_plan_priema
 Уральский государственный аграрный университет ; 63.2; 2.4; 458; 0; Нет;бакалавриат;0;150.0;51000;0;0;0;0;d0720ddc-73c8-4859-9cb9-aab708eb04de;620075, Свердловская область, г. Екатеринбург, ул. Карла Либкнехта, д. 42;False;False;http://urgau.ru/images/priem2021/KCP_bak_cel.pdf http://urgau.ru/images/priem2021/KCP_mag_cel.pdf
