Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Алтайский государственный аграрный университет ; 56.3; -2.4; 523; 0; Нет;бакалавриат;24;183.0;103000;0;0;0;0;ae7e5df1-bfb6-4713-bcbe-165ff677d9f2;Российская Федерация, 656049, Алтайский край, г. Барнаул, пр-т Красноармейский, д. 98;False;True;http://www.asau.ru/ru/abitur/5223-napravleniya-podgotovki-i-kolichestvo-mest
 Алтайский государственный педагогический университет ; 66.7; -1.1; 712; 1; Да;бакалавриат;21;197.0;37200;0;0;0;0;d639cea9-c4ed-46fd-a177-5cefc5a4a666;659333, Алтайский край, г. Бийск, ул. Короленко, 53;False;True;http://www2.bigpi.biysk.ru/pk/viewpage.php?page_id=227
 Алтайский государственный университет ; 74.4; 1.7; 1420; 23; Да;бакалавриат;21;197.0;37200;магистратура;;;;d639cea9-c4ed-46fd-a177-5cefc5a4a666;659333, Алтайский край, г. Бийск, ул. Короленко, 53;False;True;http://www2.bigpi.biysk.ru/pk/viewpage.php?page_id=227
 Армавирский государственный педагогический университет; 64.5; -1.2; 500; 0; Нет;бакалавриат;51;40.0;115000;магистратура;51;40.0;129900;12796fa6-b109-4e28-8906-4aab8eb9f726;352901, город Армавир Краснодарского края, улица Розы Люксембург, 159;False;True;http://priem.agpu.net/abiturient/abiturient_2021/01.11.2020/kol-vo%20mest.aspx
 Башкирский государственный университет ; 67.6; -2.1; 1011; 4; Да;бакалавриат;25;233.0;36720;магистратура;16;60.0;132000;7d5e6f1d-0591-46ff-8dc5-f8f45444a8c9;450008, Республика Башкортостан, г.Уфа, ул.Октябрьской революции, 3-а;False;True;https://abitur.bspu.ru/pdf-documents/pdfdocument/05/file_04-2022_150105.pdf
 Благовещенский государственный педагогический университет; 62.7; -0.9; 427; 0; Нет;бакалавриат;;;;магистратура;;;;d46277ba-4c87-4520-b57f-c5ba739e3171;675000, Амурская область, г. Благовещенск, ул. Ленина, 104;False;True;https://bgpu.ru/abitur/bachelor/#abitur_plan_priema
 Брянский государственный университет имени И.Г. Петровского; 71.2; 0.8; 349; 0; Нет;бакалавриат;;;;0;0;0;0;0c5b7ed2-24fb-4a2e-a1f6-8675f55361e7;241036, г. Брянск, ул. Бежицкая,  14;False;True;https://brgu.ru/Abitur/bank/2021/doc/bachelor/2.pdf
 Бурятский государственный университет ; 63.0; -0.9; 792; 0; Да;бакалавриат;0;0.0;47000;0;0;0;0;960a9f73-1bdf-4840-89a5-a1aaf5663bc9;"670000, Республика Бурятия, г.Улан-Удэ, ул.Смолина, 24 ""а""";False;True;https://www.bsu.ru/abit/camp2022/bak2022/plan_bak-2022_ocno/
 Воронежский государственный педагогический университет; 71.3; -1.2; 573; 0; Нет;бакалавриат;13;180.0;40000;0;0;0;0;98f9d9ef-19cb-423d-842a-ec83158fb33e;394043, г.Воронеж, ул.Ленина, 86, Россия;False;True;http://pk.vspu.ac.ru/kontrolnye-cifry-priema-2015
 Воронежский государственный университет; 74.2; -0.2; 1734; 4; Нет;бакалавриат;0;0.0;36000;0;0;0;0;00fe2808-dde2-45b9-811b-f17427e75fd8;394087, Воронежская область, г. Воронеж, ул. Мичурина, 1;False;True;http://abit.vsau.ru/wp-content/uploads/2021/10/%D0%B1_%D0%9A%D0%BE%D0%BB%D0%B8%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%BE-%D0%BC%D0%B5%D1%81%D1%82-%D0%B4%D0%BB%D1%8F-%D0%BF%D1%80%D0%B8%D0%B5%D0%BC%D0%B0-%D0%BD%D0%B0-%D0%BE%D0%B1%D1%83%D1%87%D0%B5%D0%BD%D0%B8%D0%B5_2021.pdf
