Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Адыгейский государственный университет ; 63.0; 0; 620; 0; Нет;бакалавриат;11;135.0;97000;0;0;0;0;2e93a6c1-cb86-4fd4-9ad0-ef513da1e022;385000, Республика Адыгея, г.Майкоп, ул.Первомайская, 208;False;True;https://adygnet.ru/upload/docs/applicants/pk-2021/pk_2021_10.pdf
 Алтайский государственный университет ; 74.4; 1.7; 1420; 23; Да;бакалавриат;10;0.0;107600;0;0;0;0;bd295655-44d9-4ebf-aacf-532fa788e1d3;656049, Алтайский край, г. Барнаул, ул. Ленина, д. 61;False;False;https://www.asu.ru/files/documents/00025000.pdf
 Армавирский государственный педагогический университет; 64.5; -1.2; 500; 0; Нет;бакалавриат;;;;магистратура;0;0.0;45500;12796fa6-b109-4e28-8906-4aab8eb9f726;352901, город Армавир Краснодарского края, улица Розы Люксембург, 159;False;True;http://priem.agpu.net/abiturient/abiturient_2021/01.11.2020/kol-vo%20mest.aspx
 Байкальский государственный университет ; 71.4; -3.1; 342; 0; Да;бакалавриат;2;109.0;40000;магистратура;9;57.0;111000;c4919508-4bf8-4ee0-aeca-a137afe1666c;664003, г.Иркутск, ул.Ленина, д.11;True;True;http://bgu.ru/abitur/bach/plan.aspx
 Башкирский государственный университет ; 67.6; -2.1; 1011; 4; Да;бакалавриат;0;0.0;45600;магистратура;0;0.0;45000;7d5e6f1d-0591-46ff-8dc5-f8f45444a8c9;450008, Республика Башкортостан, г.Уфа, ул.Октябрьской революции, 3-а;False;True;https://abitur.bspu.ru/pdf-documents/pdfdocument/05/file_04-2022_150105.pdf
 Белгородский государственный национальный исследовательский университет; 66.8; -2.5; 1460; 2; Да;бакалавриат;0;0.0;76700;магистратура;;;;cf1fddeb-db35-49a5-918c-1c570f2c09c8;308015, Белгородская область, г. Белгород, ул. Победы, д. 85;False;False;http://abitur.bsu.edu.ru/abitur/priem/places/
 Брянский государственный университет имени И.Г. Петровского; 71.2; 0.8; 349; 0; Нет;бакалавриат;;;;магистратура;;;;0c5b7ed2-24fb-4a2e-a1f6-8675f55361e7;241036, г. Брянск, ул. Бежицкая,  14;False;True;https://brgu.ru/Abitur/bank/2021/doc/bachelor/2.pdf
 Бурятский государственный университет ; 63.0; -0.9; 792; 0; Да;бакалавриат;15;201.0;93800;магистратура;6;65.0;100800;960a9f73-1bdf-4840-89a5-a1aaf5663bc9;"670000, Республика Бурятия, г.Улан-Удэ, ул.Смолина, 24 ""а""";False;True;https://www.bsu.ru/abit/camp2022/bak2022/plan_bak-2022_ocno/
 Владимирский государственный университет; 64.0; -1.9; 1420; 0; Да;бакалавриат;16;183.0;110510;магистратура;7;30.0;118340;73d9f15a-7469-4a82-8a6f-2d21b03fd7d7;600000, г.Владимир, ул.Горького, 87;False;True;https://prkom.vlsu.ru/plan.html
 Волгоградский государственный социально-педагогический университет; 67.8; -1.3; 889; 0; Да;бакалавриат;;;;0;0;0;0;deb64a3a-e9d6-458a-b2d2-ce3b30ba57f7;400005, г. Волгоград, проспект им. В.И. Ленина, 27;False;True;https://vspu.ru/abitur/2021
