Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Алтайский государственный университет ; 74.4; 1.7; 1420; 23; Да;бакалавриат;15;227.0;101240;магистратура;;;;bd295655-44d9-4ebf-aacf-532fa788e1d3;656049, Алтайский край, г. Барнаул, ул. Ленина, д. 61;False;False;https://www.asu.ru/files/documents/00025000.pdf
 Белгородский государственный национальный исследовательский университет; 66.8; -2.5; 1460; 2; Да;бакалавриат;15;223.0;79800;магистратура;;;;cf1fddeb-db35-49a5-918c-1c570f2c09c8;308015, Белгородская область, г. Белгород, ул. Победы, д. 85;False;False;http://abitur.bsu.edu.ru/abitur/priem/places/
 Брянский государственный университет имени И.Г. Петровского; 71.2; 0.8; 349; 0; Нет;бакалавриат;;;;0;0;0;0;0c5b7ed2-24fb-4a2e-a1f6-8675f55361e7;241036, г. Брянск, ул. Бежицкая,  14;False;True;https://brgu.ru/Abitur/bank/2021/doc/bachelor/2.pdf
 Владимирский государственный университет; 64.0; -1.9; 1420; 0; Да;бакалавриат;;;110510;0;0;0;0;73d9f15a-7469-4a82-8a6f-2d21b03fd7d7;600000, г.Владимир, ул.Горького, 87;False;True;https://prkom.vlsu.ru/plan.html
 Волгоградский государственный социально-педагогический университет; 67.8; -1.3; 889; 0; Да;бакалавриат;0;0.0;31058;0;0;0;0;deb64a3a-e9d6-458a-b2d2-ce3b30ba57f7;400005, г. Волгоград, проспект им. В.И. Ленина, 27;False;True;https://vspu.ru/abitur/2021
 Волгоградский государственный технический университет; 64.2; 0.3; 1198; 0; Да;бакалавриат;;;;0;0;0;0;47876a8f-55b1-4cf0-b247-867a9a3add86;400005, г. Волгоград, проспект им. Ленина, д.28;False;True;https://welcome.vstu.ru/acceptance/Abitur/#kolmest
 Волгоградский государственный университет; 69.0; -0.9; 969; 1; Да;бакалавриат;0;0.0;31058;0;0;0;0;deb64a3a-e9d6-458a-b2d2-ce3b30ba57f7;400005, г. Волгоград, проспект им. В.И. Ленина, 27;False;True;https://vspu.ru/abitur/2021
 Воронежский государственный университет; 74.2; -0.2; 1734; 4; Нет;бакалавриат;0;0.0;39000;0;0;0;0;eba4da73-1a42-4dd8-8586-2e3d729f2c9e;394036, г.Воронеж, проспект Революции, 19;False;True;https://vsuet.ru/abitur
 Воронежский государственный университет инженерных технологий; 65.9; 1.8; 624; 0; Да;бакалавриат;0;0.0;39000;0;0;0;0;eba4da73-1a42-4dd8-8586-2e3d729f2c9e;394036, г.Воронеж, проспект Революции, 19;False;True;https://vsuet.ru/abitur
 Восточно-Сибирский государственный университет технологий и управления ; 52.2; -3.8; 588; 0; Да;бакалавриат;0;0.0;129000;0;0;0;0;4d3bda30-8650-40c7-93f2-3d7302eee693;670013, Республика Бурятия, г.Улан-Удэ, ул.Ключевская, д.40В, строение 1;True;True;https://www.esstu.ru/uportal/document/download.htm?documentId=23749
 Дагестанский государственный технический университет ; 59.8; -2; 622; 1; Да;бакалавриат;;;;0;0;0;0;4ef788cf-60d8-4743-95f5-0958258b2bc8;367026, Республика Дагестан, г.Махачкала, проспект Имама Шамиля, 70;False;True;http://dstu.ru/fileadmin/priem/2021/KCP_po_bjudzhetu_na_2021-2022_uchebnyi_god.pdf
 Дагестанский государственный университет ; 63.0; -0.4; 1025; 19; Нет;бакалавриат;;;;0;0;0;0;4ef788cf-60d8-4743-95f5-0958258b2bc8;367026, Республика Дагестан, г.Махачкала, проспект Имама Шамиля, 70;False;True;http://dstu.ru/fileadmin/priem/2021/KCP_po_bjudzhetu_na_2021-2022_uchebnyi_god.pdf
 Дальневосточный государственный университет путей сообщения ; 57.1; -1.7; 1091; 0; Да;бакалавриат;0;0.0;45000;магистратура;0;0.0;55000;dc05355d-4867-4257-b339-9d349f9b11a5;680021, г.Хабаровск, ул.Серышева, д.47;True;True;https://abiturient.dvgups.ru/2016-05-20-01-40-30/2016-05-31-22-54-15/2016-05-31-22-57-01
 Дальневосточный федеральный университет; 73.0; -0.3; 2649; 25; Нет;бакалавриат;30;0.0;210000;0;0;0;0;b1d399f2-cba7-428e-83a0-8f648c08f7aa;690950, Приморский край, г. Владивосток, ул. Суханова, д. 8;True;True;https://www.dvfu.ru/upload/medialibrary/4e4/cmsvctuegg5miib715u5ecte4x9mhmo0/%D0%9A%D0%BE%D0%BB%D0%B8%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%BE%20%D0%B1%D1%8E%D0%B4%D0%B6%D0%B5%D1%82%D0%BD%D1%8B%D1%85%20%D0%BC%D0%B5%D1%81%D1%82%20%D0%B4%D0%BB%D1%8F%20%D0%BF%D1%80%D0%B8%D0%B5%D0%BC%D0%B0%202022-23%20%D0%BF%D0%BE%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B0%D0%BC%20%D0%B1%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80%D0%B8%D0%B0%D1%82%D0%B0%20%D0%B8%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B0%D0%BC%20%D1%81%D0%BF%D0%B5%D1%86%D0%B8%D0%B0%D0%BB%D0%B8%D1%82%D0%B5%D1%82%D0%B0.pdf
 Донской государственный технический университет ; 62.2; 0.8; 2865; 0; Да;бакалавриат;28;120.0;34700;0;0;0;0;1b74b22d-82f8-4d72-8c34-9c031d174bc5;344003, г.Ростов-на-Дону, пл.Гагарина, 1;True;True;https://donstu.ru/priemnaya-kampaniya/
 Забайкальский государственный университет; 58.4; -1.8; 818; 0; Нет;бакалавриат;0;0.0;38000;0;0;0;0;013c6781-1230-49aa-a965-6fb1326f849f;672039, Забайкальский край, город Чита, улица Александро-Заводская, дом 30;True;True;http://entrant.zabgu.ru/?page_id=9
 Ивановский государственный политехнический университет; 64.5; -0.7; 379; 0; Нет;бакалавриат;;;36000;0;0;0;0;c714f17e-3881-4fe4-932e-332a9db06504;153000, Ивановская область,  г.Иваново, Шереметевский проспект, д.21;False;True;https://ivgpu.com/abitur
 Ивановский государственный университет; 67.5; -0.3; 383; 0; Да;бакалавриат;;;36000;0;0;0;0;c714f17e-3881-4fe4-932e-332a9db06504;153000, Ивановская область,  г.Иваново, Шереметевский проспект, д.21;False;True;https://ivgpu.com/abitur
