Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Адыгейский государственный университет ; 63.0; 0; 620; 0; Нет;бакалавриат;30;169.0;97000;магистратура;10;50.0;46700;2e93a6c1-cb86-4fd4-9ad0-ef513da1e022;385000, Республика Адыгея, г.Майкоп, ул.Первомайская, 208;False;True;https://adygnet.ru/upload/docs/applicants/pk-2021/pk_2021_10.pdf
 Алтайский государственный университет ; 74.4; 1.7; 1420; 23; Да;бакалавриат;16;120.0;124445;магистратура;;;;ca7848f5-a655-4dd5-be23-7923e80eed77;649000, Республика Алтай, г.Горно-Алтайск, ул.Ленкина, 1;False;False;http://abit.gasu.ru/index.php?option=com_content&view=article&id=203&Itemid=523
 Астраханский государственный университет; 63.9; -2.2; 695; 1; Да;бакалавриат;15;40.0;0;магистратура;0;0.0;114883;4ae7d82f-0812-449e-9384-407d39da5836;414056, Россия, г. Астрахань, ул. Татищева, 20а;True;False;https://asu.edu.ru/images/File/priem/2022/OBShchEE-KOL-VO-MEST.pdf
 Байкальский государственный университет ; 71.4; -3.1; 342; 0; Да;бакалавриат;8;169.0;40000;магистратура;10;30.0;58000;c4919508-4bf8-4ee0-aeca-a137afe1666c;664003, г.Иркутск, ул.Ленина, д.11;True;True;http://bgu.ru/abitur/bach/plan.aspx
 Башкирский государственный университет ; 67.6; -2.1; 1011; 4; Да;бакалавриат;15;160.0;36000;магистратура;15;40.0;50000;7d5e6f1d-0591-46ff-8dc5-f8f45444a8c9;450008, Республика Башкортостан, г.Уфа, ул.Октябрьской революции, 3-а;False;True;https://abitur.bspu.ru/pdf-documents/pdfdocument/05/file_04-2022_150105.pdf
 Белгородский государственный национальный исследовательский университет; 66.8; -2.5; 1460; 2; Да;бакалавриат;20;139.0;32300;магистратура;;;;cf1fddeb-db35-49a5-918c-1c570f2c09c8;308015, Белгородская область, г. Белгород, ул. Победы, д. 85;False;False;http://abitur.bsu.edu.ru/abitur/priem/places/
 Брянский государственный университет имени И.Г. Петровского; 71.2; 0.8; 349; 0; Нет;бакалавриат;;;;0;0;0;0;0c5b7ed2-24fb-4a2e-a1f6-8675f55361e7;241036, г. Брянск, ул. Бежицкая,  14;False;True;https://brgu.ru/Abitur/bank/2021/doc/bachelor/2.pdf
 Бурятский государственный университет ; 63.0; -0.9; 792; 0; Да;бакалавриат;0;0.0;47000;магистратура;9;71.0;100800;960a9f73-1bdf-4840-89a5-a1aaf5663bc9;"670000, Республика Бурятия, г.Улан-Удэ, ул.Смолина, 24 ""а""";False;True;https://www.bsu.ru/abit/camp2022/bak2022/plan_bak-2022_ocno/
 Волгоградский государственный медицинский университет; 73.8; -1.8; 675; 0; Да;бакалавриат;15;;105000;0;0;0;0;80a6f3f6-bee2-4c3c-8974-156b88abb5d9;400131, г.Волгоград, площадь Павших борцов, 1;False;True;https://www.volgmed.ru/uploads/files/2022-4/157217-02_kolichestvo_mest_dlya_priema_na_obuchenie_po_razlichnym_usloviyam_postupleniya_v_ramkah_kontrolnyh_cifr_v_2022_godu.pdf
 Волгоградский государственный социально-педагогический университет; 67.8; -1.3; 889; 0; Да;бакалавриат;0;0.0;49558;0;0;0;0;deb64a3a-e9d6-458a-b2d2-ce3b30ba57f7;400005, г. Волгоград, проспект им. В.И. Ленина, 27;False;True;https://vspu.ru/abitur/2021
 Волгоградский государственный университет; 69.0; -0.9; 969; 1; Да;бакалавриат;0;0.0;49558;магистратура;6;82.0;38000;deb64a3a-e9d6-458a-b2d2-ce3b30ba57f7;400005, г. Волгоград, проспект им. В.И. Ленина, 27;False;True;https://vspu.ru/abitur/2021
 Восточно-Сибирский государственный университет технологий и управления ; 52.2; -3.8; 588; 0; Да;бакалавриат;0;0.0;41000;магистратура;;;;4d3bda30-8650-40c7-93f2-3d7302eee693;670013, Республика Бурятия, г.Улан-Удэ, ул.Ключевская, д.40В, строение 1;True;True;https://www.esstu.ru/uportal/document/download.htm?documentId=23749
 Горно-Алтайский государственный университет; 60.2; 1; 337; 0; Нет;бакалавриат;16;120.0;124445;0;0;0;0;ca7848f5-a655-4dd5-be23-7923e80eed77;649000, Республика Алтай, г.Горно-Алтайск, ул.Ленкина, 1;False;False;http://abit.gasu.ru/index.php?option=com_content&view=article&id=203&Itemid=523
 Дагестанский государственный университет ; 63.0; -0.4; 1025; 19; Нет;бакалавриат;50;139.0;19700;0;0;0;0;ae7078a1-9027-4024-af9a-7275afdd1596;367000, Республика Дагестан, г.Махачкала, ул. Батырая, 2, Дворец спорта ДГУ;False;True;http://dgu.ru/Abitur/?id=15247
 Дальневосточный государственный медицинский университет ; 66.3; -2.9; 454; 0; Нет;бакалавриат;0;0.0;42000;0;0;0;0;fb031712-1b19-4ae4-b152-8616da1c7792;680000, г.Хабаровск, ул.Муравьева-Амурского, д.35;False;True;http://www.fesmu.ru/SITE/files/editor/file/priemnaya%20komissia/2020/kkcp301020.pdf
 Донской государственный технический университет ; 62.2; 0.8; 2865; 0; Да;бакалавриат;16;174.0;28100;магистратура;;;;1b74b22d-82f8-4d72-8c34-9c031d174bc5;344003, г.Ростов-на-Дону, пл.Гагарина, 1;True;True;https://donstu.ru/priemnaya-kampaniya/
 Забайкальский государственный университет; 58.4; -1.8; 818; 0; Нет;бакалавриат;0;0.0;44500;магистратура;0;0.0;44500;013c6781-1230-49aa-a965-6fb1326f849f;672039, Забайкальский край, город Чита, улица Александро-Заводская, дом 30;True;True;http://entrant.zabgu.ru/?page_id=9
 Ингушский государственный университет ; 62.3; -3.1; 709; 0; Да;бакалавриат;;;;0;0;0;0;af5a9db6-d42a-4243-9763-2c3c203aac5e;386001, Республика Ингушетия, г. Магас, проспект И. Зязикова, д. 7;False;True;http://inggu.ru/abitur/aspirant/Колич.мест%20для%20приема%20-%2029.03.22(26.04.)%20бакалавриат.pdf
 Казанский государственный медицинский университет; 77.6; -3.1; 509; 8; Да;бакалавриат;0;0.0;32800;магистратура;15;70.0;38280;63db2dee-939b-44e6-805e-437135b91fbe;420012, Приволжский федеральный округ, Республика Татарстан, г.Казань, ул. Бутлерова, д.49;True;True;https://kazangmu.ru/files/priemcom/2021%20ГОД/31%20мая/Plan_priem_2021.pdff
 Казанский национальный исследовательский технологический университет; 67.0; -2; 1819; 0; Да;бакалавриат;30;166.0;44400;магистратура;12;40.0;49800;8fc8bb73-b6c9-4d53-b456-9fe66bc303b6;420015, Республика Татарстан, г.Казань, ул. К. Маркса, д.68;True;True;https://www.kstu.ru/article.jsp?id=2813&id_e=58594
