Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Алтайский государственный университет ; 74.4; 1.7; 1420; 23; Да;бакалавриат;143;170.0;119500;магистратура;1;25.0;50000;fada72f4-aab6-439a-9ee4-a0871d3669f0;РОССИЯ, 656038, Алтайский край, Барнаул г, Ленина пр-кт, дом 46;True;False;https://www.altstu.ru/media/f/KCP-2022-dlya-sajta.pdf
 Астраханский государственный университет; 63.9; -2.2; 695; 1; Да;бакалавриат;55;100.0;85000;магистратура;10;61.0;52800;bd14262d-d476-4582-a62d-b42571f9425c;414056, г.Астрахань, ул.Татищева, 18;False;True;https://xn--80aai1dk.xn--p1ai/images/files/priemka/2022/kol_mest_pr_B_2022.pdf
 Байкальский государственный университет ; 71.4; -3.1; 342; 0; Да;бакалавриат;8;109.0;98000;0;0;0;0;c4919508-4bf8-4ee0-aeca-a137afe1666c;664003, г.Иркутск, ул.Ленина, д.11;True;True;http://bgu.ru/abitur/bach/plan.aspx
 Башкирский государственный аграрный университет ; 61.4; 0.5; 647; 0; Нет;бакалавриат;0;0.0;67400;магистратура;0;0.0;33500;157d9b07-2c24-4dd5-b90f-0beb9debd8ad;450001, Республика Башкортостан, г. Уфа, ул. 50-летия Октября, 34;False;True;https://bsau.ru/abitur/bachelor-and-specialist
 Башкирский государственный университет ; 67.6; -2.1; 1011; 4; Да;бакалавриат;0;0.0;67400;магистратура;0;0.0;33500;157d9b07-2c24-4dd5-b90f-0beb9debd8ad;450001, Республика Башкортостан, г. Уфа, ул. 50-летия Октября, 34;False;True;https://bsau.ru/abitur/bachelor-and-specialist
 Братский государственный университет; 53.2; -5.2; 355; 0; Да;бакалавриат;20;121.0;161400;магистратура;0;0.0;59390;caf6020a-f238-47de-95a8-ccd992a50180;665709, Иркутская область, г.Братск, ул.Макаренко, д.40;False;True;https://brstu.ru/abitur/bachelor
 Владимирский государственный университет; 64.0; -1.9; 1420; 0; Да;бакалавриат;;;36200;магистратура;;;36200;73d9f15a-7469-4a82-8a6f-2d21b03fd7d7;600000, г.Владимир, ул.Горького, 87;False;True;https://prkom.vlsu.ru/plan.html
 Волгоградский государственный технический университет; 64.2; 0.3; 1198; 0; Да;бакалавриат;10;225.0;126250;магистратура;13;58.0;134170;47876a8f-55b1-4cf0-b247-867a9a3add86;400005, г. Волгоград, проспект им. Ленина, д.28;False;True;https://welcome.vstu.ru/acceptance/Abitur/#kolmest
 Волгоградский государственный университет; 69.0; -0.9; 969; 1; Да;бакалавриат;10;225.0;126250;магистратура;13;58.0;134170;47876a8f-55b1-4cf0-b247-867a9a3add86;400005, г. Волгоград, проспект им. Ленина, д.28;False;True;https://welcome.vstu.ru/acceptance/Abitur/#kolmest
 Волжский государственный университет водного транспорта ; 53.4; -0.3; 480; 0; Нет;бакалавриат;25;45.33;136000;магистратура;0;45.0;60000;d7bd3d40-a152-4546-8b60-7372a8332148;603005, г.Нижний Новгород, ул.Нестерова, д.5;False;True;https://vsuwt.ru/files/abitur/receptplan/smb/20$$$Количество%20мест%20для%20приема%20на%20обучение.pdf
 Воронежский государственный технический университет; 66.2; 2; 1942; 6; Нет;бакалавриат;21;159.0;115800;магистратура;48;35.0;122860;cefffdd8-1e73-49e7-b507-eafa1da4f8f9;394006, г. Воронеж, ул. 20-летия Октября, 84;True;True;https://cchgeu.ru/upload/abiturientu/info/2020/Plan-priema-2021.pdf
