Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Арктический государственный агротехнологический университет; 48.7; -11.8; 368; 0; Нет;бакалавриат;14;99.0;58000;магистратура;5;40.0;58000;b70de9cd-9411-4405-b98e-7df997cd0254;677007, Республика Саха (Якутия), г.Якутск, ш. Сергеляхское, 3 км., д.3;False;True;https://agatu.ru/postupayushim/pravila-priema-po-programmam-vo-2022/ 
 Братский государственный университет; 53.2; -5.2; 355; 0; Да;бакалавриат;0;0.0;38740;0;0;0;0;caf6020a-f238-47de-95a8-ccd992a50180;665709, Иркутская область, г.Братск, ул.Макаренко, д.40;False;True;https://brstu.ru/abitur/bachelor
 Восточно-Сибирский государственный университет технологий и управления ; 52.2; -3.8; 588; 0; Да;бакалавриат;15;0.0;41000;магистратура;;;;4d3bda30-8650-40c7-93f2-3d7302eee693;670013, Республика Бурятия, г.Улан-Удэ, ул.Ключевская, д.40В, строение 1;True;True;https://www.esstu.ru/uportal/document/download.htm?documentId=23749
 Государственный аграрный университет Северного Зауралья ; 56.8; -3.1; 502; 0; Нет;бакалавриат;0;0.0;35000;0;0;0;0;cf33956b-925a-4c2e-916d-274b05a495c9;Российская Федерация, 625003, Тюменская область, г. Тюмень, Республики, д. 7;False;True;http://www.tsaa.ru/priemnaya-komissiya/priyomnaya-kampaniya-2022/dokumentyi-i-polozheniya/9.-kolichestvo-mest-dlya-priema-na-obuchenie-po-razlichnyim-usloviyam-postupleniya-v-ramkax-kontrolnyix-czifr-bez-ukazaniya-czelevoj-kvotyi-i-osoboj-kvotyi
 Дальневосточный государственный аграрный университет ; 49.2; -1; 411; 0; Нет;бакалавриат;15;118.0;188160;0;0;0;0;4a286e1d-6de1-4230-a16d-6e6508dd702c;675005, Амурская область, г. Благовещенск, ул. Политехничсекая, 86;False;True;https://www.dalgau.ru/upload/iblock/23b/10-Kolichestvo-mest-dlya-priema-na-obuchenie-po-razlichnym-usloviyam-postupleniya.pdf
 Казанский национальный исследовательский технологический университет; 67.0; -2; 1819; 0; Да;бакалавриат;60;137.0;155400;магистратура;20;40.0;165600;8fc8bb73-b6c9-4d53-b456-9fe66bc303b6;420015, Республика Татарстан, г.Казань, ул. К. Маркса, д.68;True;True;https://www.kstu.ru/article.jsp?id=2813&id_e=58594
 Пензенский государственный университет; 69.6; -2.1; 1522; 9; Да;бакалавриат;;;;0;0;0;0;d2c08249-35f6-4ad5-8aef-685fd88629dd;440028, г.Пенза, ул. Германа Титова, д. 28;False;True;http://www.pguas.ru/left-menu-abitur-select-commit
 Пензенский государственный университет архитектуры и строительства; 65.6; 2.6; 540; 25; Да;бакалавриат;;;;0;0;0;0;d2c08249-35f6-4ad5-8aef-685fd88629dd;440028, г.Пенза, ул. Германа Титова, д. 28;False;True;http://www.pguas.ru/left-menu-abitur-select-commit
 Петрозаводский государственный университет; 70.2; 0.6; 1336; 1; Нет;бакалавриат;18;133.0;158300;0;0;0;0;ec58ccf8-3d3b-4e3a-9a34-50d033761092;185910, Республика Карелия, г. Петрозаводск, пр. Ленина, 33;True;False;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/kolitchesvto-byuzhdetnyh-mest
 Поволжский государственный технологический университет ; 68.3; 2.4; 1301; 0; Нет;бакалавриат;40;139.0;40300;магистратура;24;50.0;121250;9c9410df-579c-43e3-bb09-747054f829f0;424000, Республика Марий Эл, г.Йошкар-Ола, пл. Ленина, д.3;False;True;https://dod.volgatech.net/documents/
 Санкт-Петербургский государственный лесотехнический университет имени С.М. Кирова; 75.0; 0; 543; 0; Нет;бакалавриат;;;;магистратура;;;;cdb5222f-5110-4e24-bd31-5f51766bc907;194021, г.Санкт-Петербург, Институтский пер., д.5 литера У;False;True;https://spbftu.ru/wp-content/uploads/2021/06/200od.pdf
 Санкт-Петербургский государственный университет; 92.0; 0.1; 2136; 366; Да;бакалавриат;;;;магистратура;;;;cdb5222f-5110-4e24-bd31-5f51766bc907;194021, г.Санкт-Петербург, Институтский пер., д.5 литера У;False;True;https://spbftu.ru/wp-content/uploads/2021/06/200od.pdf
 Уральский государственный лесотехнический университет ; 64.0; -0.6; 683; 0; Нет;бакалавриат;30;172.0;40000;магистратура;5;60.0;40000;5a8f97c4-23cc-440e-87e3-92d3e26715d1;620100, Свердловская область, г. Екатеринбург, ул. Сибирский тракт, д. 37;False;True;http://usfeu.ru/abiturientu/bakalavriat/kolichestvo-mest/
 Ухтинский государственный технический университет; 60.4; 2.6; 604; 0; Нет;бакалавриат;15;;;магистратура;9;50.0;;9b9a6608-acde-43d9-a9da-8bc7dc2de88f;169300, Республика Коми, г.Ухта, ул. Первомайская, д. 13;False;True;https://www.ugtu.net/abitur/bachelor
