Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Восточно-Сибирский государственный университет технологий и управления ; 52.2; -3.8; 588; 0; Да;бакалавриат;10;152.0;147000;0;0;0;0;4d3bda30-8650-40c7-93f2-3d7302eee693;670013, Республика Бурятия, г.Улан-Удэ, ул.Ключевская, д.40В, строение 1;True;True;https://www.esstu.ru/uportal/document/download.htm?documentId=23749
 Вятский государственный университет ; 68.2; 0.1; 1827; 2; Да;бакалавриат;23;180.0;115177;0;0;0;0;ddab0f07-50d1-40a6-850b-e53d590d9671;610000, Кировская область, г. Киров, ул. Московская, д. 36;False;False;https://new.vyatsu.ru/upload/iblock/31d/fyp76ft0gi6yydool30dv90he6oc54rn.pdf
 Донской государственный технический университет ; 62.2; 0.8; 2865; 0; Да;бакалавриат;56;145.0;125900;магистратура;;;;1b74b22d-82f8-4d72-8c34-9c031d174bc5;344003, г.Ростов-на-Дону, пл.Гагарина, 1;True;True;https://donstu.ru/priemnaya-kampaniya/
 Ивановский государственный университет; 67.5; -0.3; 383; 0; Да;бакалавриат;0;0.0;36060;0;0;0;0;8721cead-896a-4bbd-b64d-955b4f398272;153000, г. Иваново, Шереметевский просп., 7;False;True;https://www.isuct.ru/Abitur
 Ивановский государственный химико-технологический университет; 62.2; -1.1; 587; 0; Нет;бакалавриат;0;0.0;36060;0;0;0;0;8721cead-896a-4bbd-b64d-955b4f398272;153000, г. Иваново, Шереметевский просп., 7;False;True;https://www.isuct.ru/Abitur
 Ижевский государственный технический университет имени М.Т. Калашникова; 65.8; -1.3; 981; 4; Да;бакалавриат;0;0.0;43000;магистратура;0;0.0;45000;b04905e5-ddcb-49bc-afac-750a9658514c;426069, Удмуртская Республика, г. Ижевск, ул. Студенческая, д. 7;False;False;https://istu.ru/storage/priem/priem-2021/%D0%9A%D0%A6%D0%9F%20%D0%BE%D0%B1%D1%83%D1%87%D0%B0%D1%8E%D1%89%D0%B8%D1%85%D1%81%D1%8F%20%D0%BD%D0%B0%201%20%D0%BA%D1%83%D1%80%D1%81%20%D0%B2%202021-2022%20%D1%83%D1%87%D0%B5%D0%B1%D0%BD%D0%BE%D0%BC%20%D0%B3%D0%BE%D0%B4%D1%83.pdf
 Казанский национальный исследовательский технологический университет; 67.0; -2; 1819; 0; Да;бакалавриат;33;156.0;155400;0;0;0;0;8fc8bb73-b6c9-4d53-b456-9fe66bc303b6;420015, Республика Татарстан, г.Казань, ул. К. Маркса, д.68;True;True;https://www.kstu.ru/article.jsp?id=2813&id_e=58594
 Липецкий государственный технический университет; 63.4; -1.7; 571; 0; Нет;бакалавриат;0;0.0;54400;0;0;0;0;6482f0de-7da1-48ee-9c00-be821a58f0c4;398055, г. Липецк, ул. Московская, д. 30;False;True;https://www.stu.lipetsk.ru/struct/management/rector/pk/res/abit2022/stages/stage-main/b-3-mesta.pdf
 МИРЭА - Российский технологический университет; 81.5; 1.6; 3031; 54; Да;бакалавриат;30;211.0;192000;магистратура;30;57.0;204000;fa7b2da0-a4f0-466b-a6cc-363b8a4f9b10;119454, г. Москва, просп. Вернадского, д. 78;True;True;https://priem.mirea.ru/first-degree/list/head
 Московский политехнический университет; 76.1; 2.5; 1756; 35; Да;бакалавриат;44;182.0;251100;0;0;0;0;d9fd69da-2f68-4a93-aae0-6058fc175c09;107023 г. Москва, ул. Большая Семеновская д.38;False;True;https://new.mospolytech.ru/postupayushchim/priem-v-universitet/pravila-priema/
 Российский государственный геологоразведочный университет имени Серго Орджоникидзе ; 67.1; -0.8; 382; 0; Да;бакалавриат;0;0.0;73100;магистратура;15;0.0;240000;d8903dc5-299d-4925-a4ba-4de9416c560d;117997, г.Москва, ул. Миклухо-Маклая,  д. 23;False;True;https://mgri.ru/commission/gid-po-spetsialnostyam-mgri/
 Самарский государственный технический университет; 68.1; 1; 2012; 6; Нет;бакалавриат;30;157.0;119000;0;0;0;0;38cde29e-6691-481d-b30f-79282fbd19a5;443100, г.Самара, ул.Молодогвардейская, 244;True;True;https://samgtu.ru/uploads/admission/2022/kcp_2022.pdf
 Санкт-Петербургский горный университет; 80.8; 2.3; 1831; 64; Нет;бакалавриат;30;213.0;400000;магистратура;10;264.0;400000;37c9158f-99fb-4790-a7bc-749dd3ba2c45;199106, г.Санкт-Петербург, 21-я линия, д.2;True;True;https://priem.spmi.ru/sites/default/files/manager/03.PlanPriema/KCP.pdf
 Санкт-Петербургский государственный морской технический университет; 71.6; 1.7; 970; 3; Нет;бакалавриат;15;223.0;195900;0;0;0;0;d33ab9cb-7133-4194-9d2f-1fae3d913c3d;190121, г.Санкт-Петербург, Лоцманская ул., 3;True;True;https://www.smtu.ru/ru/page/204/
 Санкт-Петербургский государственный университет; 92.0; 0.1; 2136; 366; Да;бакалавриат;11;196.0;72000;0;0;0;0;1505234e-7e6c-4b3b-9fd9-b712810da33b;191186, г.Санкт-Петербург, ул.Большая Морская, д.18;False;True;http://prouniver.ru/uploads/priecom/2022/kcp_bc_22.pdf
 Санкт-Петербургский государственный университет промышленных технологий и дизайна; 79.5; -1.1; 906; 208; Да;бакалавриат;11;196.0;72000;0;0;0;0;1505234e-7e6c-4b3b-9fd9-b712810da33b;191186, г.Санкт-Петербург, ул.Большая Морская, д.18;False;True;http://prouniver.ru/uploads/priecom/2022/kcp_bc_22.pdf
 Санкт-Петербургский политехнический университет Петра Великого; 82.6; 0.2; 2958; 133; Да;бакалавриат;25;245.0;210000;магистратура;15;50.0;220000;e3d73e9c-9ffd-46e8-a231-64ba108cb256;195251, г.Санкт-Петербург, ул.Политехническая, 29;True;True;https://www.spbstu.ru/abit/bachelor/apply/perechen-napravleniy-podgotovki/
 Северо-Кавказский горно-металлургический институт (государственный технологический университет) ; 52.8; -6; 617; 0; Да;бакалавриат;0;0.0;107000;0;0;0;0;11088c88-8647-40f8-ab18-1c4e9e28c822;РСО-Алания, г. Владикавказ, ул. Николаева, 44;False;True;http://www.skgmi-gtu.ru/ru-ru/abitur
 Сибирский федеральный университет; 70.1; -1; 3337; 8; Да;бакалавриат;25;171.0;176934;0;0;0;0;ed090e19-9cf6-40f3-b40d-d4f69a2aabea;660041, Красноярский край, г. Красноярск, просп. Свободный, д. 79;True;True;https://admissions.sfu-kras.ru/exams
