Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Алтайский государственный университет ; 74.4; 1.7; 1420; 23; Да;бакалавриат;24;119.0;142000;магистратура;;;;ca7848f5-a655-4dd5-be23-7923e80eed77;649000, Республика Алтай, г.Горно-Алтайск, ул.Ленкина, 1;False;False;http://abit.gasu.ru/index.php?option=com_content&view=article&id=203&Itemid=523
 Астраханский государственный университет; 63.9; -2.2; 695; 1; Да;бакалавриат;14;150.0;125353;магистратура;10;90.0;132956;4ae7d82f-0812-449e-9384-407d39da5836;414056, Россия, г. Астрахань, ул. Татищева, 20а;True;False;https://asu.edu.ru/images/File/priem/2022/OBShchEE-KOL-VO-MEST.pdf
 Башкирский государственный университет ; 67.6; -2.1; 1011; 4; Да;бакалавриат;15;177.0;132000;магистратура;19;166.0;140400;7d5e6f1d-0591-46ff-8dc5-f8f45444a8c9;450008, Республика Башкортостан, г.Уфа, ул.Октябрьской революции, 3-а;False;True;https://abitur.bspu.ru/pdf-documents/pdfdocument/05/file_04-2022_150105.pdf
 Белгородский государственный национальный исследовательский университет; 66.8; -2.5; 1460; 2; Да;бакалавриат;17;135.0;81000;магистратура;;;;cf1fddeb-db35-49a5-918c-1c570f2c09c8;308015, Белгородская область, г. Белгород, ул. Победы, д. 85;False;False;http://abitur.bsu.edu.ru/abitur/priem/places/
 Благовещенский государственный педагогический университет; 62.7; -0.9; 427; 0; Нет;бакалавриат;;;;0;0;0;0;d46277ba-4c87-4520-b57f-c5ba739e3171;675000, Амурская область, г. Благовещенск, ул. Ленина, 104;False;True;https://bgpu.ru/abitur/bachelor/#abitur_plan_priema
 Братский государственный университет; 53.2; -5.2; 355; 0; Да;бакалавриат;20;0.0;141300;магистратура;0;0.0;59390;caf6020a-f238-47de-95a8-ccd992a50180;665709, Иркутская область, г.Братск, ул.Макаренко, д.40;False;True;https://brstu.ru/abitur/bachelor
 Брянский государственный университет имени И.Г. Петровского; 71.2; 0.8; 349; 0; Нет;бакалавриат;;;;магистратура;;;;0c5b7ed2-24fb-4a2e-a1f6-8675f55361e7;241036, г. Брянск, ул. Бежицкая,  14;False;True;https://brgu.ru/Abitur/bank/2021/doc/bachelor/2.pdf
 Бурятский государственный университет ; 63.0; -0.9; 792; 0; Да;бакалавриат;19;126.0;107100;магистратура;6;73.0;114100;960a9f73-1bdf-4840-89a5-a1aaf5663bc9;"670000, Республика Бурятия, г.Улан-Удэ, ул.Смолина, 24 ""а""";False;True;https://www.bsu.ru/abit/camp2022/bak2022/plan_bak-2022_ocno/
 Владимирский государственный университет; 64.0; -1.9; 1420; 0; Да;бакалавриат;20;128.0;126000;магистратура;8;30.0;135490;73d9f15a-7469-4a82-8a6f-2d21b03fd7d7;600000, г.Владимир, ул.Горького, 87;False;True;https://prkom.vlsu.ru/plan.html
 Волгоградский государственный университет; 69.0; -0.9; 969; 1; Да;бакалавриат;19;169.0;122000;магистратура;8;89.0;135000;630dd527-b5c6-45bd-81b1-48a876f68301;400062, Волгоградская область, г. Волгоград, просп. Университетский, д. 100;False;False;https://volsu.ru/Abitur/plany-priema.php
 Воронежский государственный педагогический университет; 71.3; -1.2; 573; 0; Нет;бакалавриат;14;0.0;125800;0;0;0;0;98f9d9ef-19cb-423d-842a-ec83158fb33e;394043, г.Воронеж, ул.Ленина, 86, Россия;False;True;http://pk.vspu.ac.ru/kontrolnye-cifry-priema-2015
 Воронежский государственный университет; 74.2; -0.2; 1734; 4; Нет;бакалавриат;14;0.0;125800;магистратура;0;0.0;42380;98f9d9ef-19cb-423d-842a-ec83158fb33e;394043, г.Воронеж, ул.Ленина, 86, Россия;False;True;http://pk.vspu.ac.ru/kontrolnye-cifry-priema-2015
 Горно-Алтайский государственный университет; 60.2; 1; 337; 0; Нет;бакалавриат;24;119.0;142000;0;0;0;0;ca7848f5-a655-4dd5-be23-7923e80eed77;649000, Республика Алтай, г.Горно-Алтайск, ул.Ленкина, 1;False;False;http://abit.gasu.ru/index.php?option=com_content&view=article&id=203&Itemid=523
 Государственный аграрный университет Северного Зауралья ; 56.8; -3.1; 502; 0; Нет;бакалавриат;0;0.0;31220;0;0;0;0;cf33956b-925a-4c2e-916d-274b05a495c9;Российская Федерация, 625003, Тюменская область, г. Тюмень, Республики, д. 7;False;True;http://www.tsaa.ru/priemnaya-komissiya/priyomnaya-kampaniya-2022/dokumentyi-i-polozheniya/9.-kolichestvo-mest-dlya-priema-na-obuchenie-po-razlichnyim-usloviyam-postupleniya-v-ramkax-kontrolnyix-czifr-bez-ukazaniya-czelevoj-kvotyi-i-osoboj-kvotyi
 Государственный университет по землеустройству ; 65.2; -1.3; 425; 0; Нет;бакалавриат;25;119.0;281600;магистратура;;;;9808f8e2-b394-4c16-9c3c-832e1255134d;Российская Федерация, 105064, г. Москва, ул. Казакова, д. 15;;True;https://guz.ru/applicants/priemnaya-kampaniya-2022-2023/
 Грозненский государственный нефтяной технический университет имени академика М.Д. Миллионщикова; 63.6; -0.3; 658; 0; Да;бакалавриат;0;;30000;магистратура;3;0.0;35000;ab1fe8ec-5e0d-48f5-8c27-14c5c97b83af;364051, Чеченская Республика, г.Грозный, пр.им.Х.А.Исаева, 100;False;True;https://gstou.ru/files/priemnaya_kampaniya_2022/kcp_2022.pdf?1649771373
 Дагестанский государственный аграрный университет ; 67.0; -6.4; 324; 0; Нет;бакалавриат;;;;0;0;0;0;19bddf52-9cb6-48b9-b07c-b6c704075dab;367032, Республика Дагестан, г.Махачкала, ул.Магомета Гаджиева, 180;False;True;https://xn--80aaiac8g.xn--p1ai/abitur
 Дагестанский государственный университет ; 63.0; -0.4; 1025; 19; Нет;бакалавриат;0;0.0;101350;магистратура;0;0.0;32440;ae7078a1-9027-4024-af9a-7275afdd1596;367000, Республика Дагестан, г.Махачкала, ул. Батырая, 2, Дворец спорта ДГУ;False;True;http://dgu.ru/Abitur/?id=15247
 Дальневосточный государственный аграрный университет ; 49.2; -1; 411; 0; Нет;бакалавриат;0;0.0;50000;0;0;0;0;4a286e1d-6de1-4230-a16d-6e6508dd702c;675005, Амурская область, г. Благовещенск, ул. Политехничсекая, 86;False;True;https://www.dalgau.ru/upload/iblock/23b/10-Kolichestvo-mest-dlya-priema-na-obuchenie-po-razlichnym-usloviyam-postupleniya.pdf
 Дальневосточный государственный технический рыбохозяйственный университет ; 50.9; -2.7; 399; 0; Нет;бакалавриат;0;0.0;58470;магистратура;0;0.0;70850;63c14fd8-00df-435a-847f-6a23f6c780ab; г. Владивосток, ул. Светланская, 27 (автобусная остановка «Площадь борцов за власть Советов», напротив здания Правительства Приморского края);True;True;https://dalrybvtuz.ru/Abitur/2022/bachelor/kolichestvo-mest-dlya/, https://dalrybvtuz.ru/Abitur/2022/special/kolichestvo-mest-dlya/, https://dalrybvtuz.ru/Abitur/2022/magistr/kolichestvo-mest-dlya/
