Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Астраханский государственный университет; 63.9; -2.2; 695; 1; Да;бакалавриат;25;147.0;50141;0;0;0;0;4ae7d82f-0812-449e-9384-407d39da5836;414056, Россия, г. Астрахань, ул. Татищева, 20а;True;False;https://asu.edu.ru/images/File/priem/2022/OBShchEE-KOL-VO-MEST.pdf
 Башкирский государственный университет ; 67.6; -2.1; 1011; 4; Да;бакалавриат;20;153.0;120000;0;0;0;0;7d5e6f1d-0591-46ff-8dc5-f8f45444a8c9;450008, Республика Башкортостан, г.Уфа, ул.Октябрьской революции, 3-а;False;True;https://abitur.bspu.ru/pdf-documents/pdfdocument/05/file_04-2022_150105.pdf
 Воронежский государственный технический университет; 66.2; 2; 1942; 6; Нет;бакалавриат;40;123.0;115800;магистратура;5;35.0;42380;cefffdd8-1e73-49e7-b507-eafa1da4f8f9;394006, г. Воронеж, ул. 20-летия Октября, 84;True;True;https://cchgeu.ru/upload/abiturientu/info/2020/Plan-priema-2021.pdf
 Воронежский государственный университет; 74.2; -0.2; 1734; 4; Нет;бакалавриат;40;123.0;115800;магистратура;10;60.0;132200;cefffdd8-1e73-49e7-b507-eafa1da4f8f9;394006, г. Воронеж, ул. 20-летия Октября, 84;True;True;https://cchgeu.ru/upload/abiturientu/info/2020/Plan-priema-2021.pdf
 Дагестанский государственный технический университет ; 59.8; -2; 622; 1; Да;бакалавриат;;;;0;0;0;0;4ef788cf-60d8-4743-95f5-0958258b2bc8;367026, Республика Дагестан, г.Махачкала, проспект Имама Шамиля, 70;False;True;http://dstu.ru/fileadmin/priem/2021/KCP_po_bjudzhetu_na_2021-2022_uchebnyi_god.pdf
 Дагестанский государственный университет ; 63.0; -0.4; 1025; 19; Нет;бакалавриат;18;125.0;101350;магистратура;10;40.0;0;ae7078a1-9027-4024-af9a-7275afdd1596;367000, Республика Дагестан, г.Махачкала, ул. Батырая, 2, Дворец спорта ДГУ;False;True;http://dgu.ru/Abitur/?id=15247
 Дальневосточный федеральный университет; 73.0; -0.3; 2649; 25; Нет;бакалавриат;25;160.0;210000;магистратура;20;40.0;290000;b1d399f2-cba7-428e-83a0-8f648c08f7aa;690950, Приморский край, г. Владивосток, ул. Суханова, д. 8;True;True;https://www.dvfu.ru/upload/medialibrary/4e4/cmsvctuegg5miib715u5ecte4x9mhmo0/%D0%9A%D0%BE%D0%BB%D0%B8%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%BE%20%D0%B1%D1%8E%D0%B4%D0%B6%D0%B5%D1%82%D0%BD%D1%8B%D1%85%20%D0%BC%D0%B5%D1%81%D1%82%20%D0%B4%D0%BB%D1%8F%20%D0%BF%D1%80%D0%B8%D0%B5%D0%BC%D0%B0%202022-23%20%D0%BF%D0%BE%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B0%D0%BC%20%D0%B1%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80%D0%B8%D0%B0%D1%82%D0%B0%20%D0%B8%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B0%D0%BC%20%D1%81%D0%BF%D0%B5%D1%86%D0%B8%D0%B0%D0%BB%D0%B8%D1%82%D0%B5%D1%82%D0%B0.pdf
 Донской государственный технический университет ; 62.2; 0.8; 2865; 0; Да;бакалавриат;120;155.0;125900;0;0;0;0;1b74b22d-82f8-4d72-8c34-9c031d174bc5;344003, г.Ростов-на-Дону, пл.Гагарина, 1;True;True;https://donstu.ru/priemnaya-kampaniya/
 Ивановский государственный университет; 67.5; -0.3; 383; 0; Да;бакалавриат;55;130.0;109720;магистратура;0;0.0;115880;8721cead-896a-4bbd-b64d-955b4f398272;153000, г. Иваново, Шереметевский просп., 7;False;True;https://www.isuct.ru/Abitur
 Ивановский государственный химико-технологический университет; 62.2; -1.1; 587; 0; Нет;бакалавриат;55;130.0;109720;магистратура;0;0.0;115880;8721cead-896a-4bbd-b64d-955b4f398272;153000, г. Иваново, Шереметевский просп., 7;False;True;https://www.isuct.ru/Abitur
